"Busco id"	Status	Sequence	Score	Length
305260at33208	Complete	Agalma_elegans@622197	562.5	375
306101at33208	Complete	Agalma_elegans@648390	349.9	290
307109at33208	Complete	Agalma_elegans@636935	473.3	345
308610at33208	Complete	Agalma_elegans@609310	650.4	439
311438at33208	Complete	Agalma_elegans@635606	368.9	261
311758at33208	Complete	Agalma_elegans@560971	661.6	437
311761at33208	Complete	Agalma_elegans@602227	142.4	295
312577at33208	Complete	Agalma_elegans@604010	294.0	318
313091at33208	Complete	Agalma_elegans@516964	432.8	340
315044at33208	Complete	Agalma_elegans@510754	546.9	407
315393at33208	Complete	Agalma_elegans@627000	516.3	328
317470at33208	Complete	Agalma_elegans@626084	376.1	292
318483at33208	Duplicated	Agalma_elegans@555039	419.5	319
318483at33208	Duplicated	Agalma_elegans@528178	417.5	320
318532at33208	Complete	Agalma_elegans@530215	606.8	336
319574at33208	Complete	Agalma_elegans@603354	275.9	240
320390at33208	Complete	Agalma_elegans@625047	351.7	366
321332at33208	Complete	Agalma_elegans@564002	304.6	402
323399at33208	Complete	Agalma_elegans@550486	613.6	467
323473at33208	Complete	Agalma_elegans@568796	492.8	287
324249at33208	Complete	Agalma_elegans@515368	293.7	360
325183at33208	Complete	Agalma_elegans@556364	550.0	344
327301at33208	Complete	Agalma_elegans@518037	246.1	249
331112at33208	Complete	Agalma_elegans@519405	540.7	407
332870at33208	Complete	Agalma_elegans@567484	239.4	221
333062at33208	Complete	Agalma_elegans@624609	555.0	370
333800at33208	Complete	Agalma_elegans@563952	530.2	605
334272at33208	Complete	Agalma_elegans@540762	278.5	376
334331at33208	Complete	Agalma_elegans@531250	634.7	510
334336at33208	Complete	Agalma_elegans@566028	378.0	320
334342at33208	Fragmented	Agalma_elegans@530814	296.7	303
334764at33208	Complete	Agalma_elegans@585550	133.4	253
334820at33208	Complete	Agalma_elegans@523188	403.2	309
335107at33208	Complete	Agalma_elegans@539969	316.6	267
336647at33208	Fragmented	Agalma_elegans@572179	148.1	210
338191at33208	Complete	Agalma_elegans@635380	712.5	371
338482at33208	Complete	Agalma_elegans@546737	358.1	337
339127at33208	Fragmented	Agalma_elegans@560540	232.6	194
339319at33208	Complete	Agalma_elegans@630708	198.1	218
340558at33208	Complete	Agalma_elegans@521856	505.3	335
340577at33208	Complete	Agalma_elegans@596471	259.5	224
344338at33208	Complete	Agalma_elegans@558982	306.5	305
344442at33208	Fragmented	Agalma_elegans@635407	188.6	159
344581at33208	Complete	Agalma_elegans@520550	338.8	243
345099at33208	Complete	Agalma_elegans@633958	705.8	644
345959at33208	Complete	Agalma_elegans@623998	165.5	226
347600at33208	Complete	Agalma_elegans@606218	402.7	283
348449at33208	Complete	Agalma_elegans@643102	266.5	292
348544at33208	Complete	Agalma_elegans@624882	440.5	322
348761at33208	Complete	Agalma_elegans@558711	352.4	233
349064at33208	Complete	Agalma_elegans@589863	419.5	283
349627at33208	Complete	Agalma_elegans@558916	257.8	258
351226at33208	Complete	Agalma_elegans@630224	174.5	241
352600at33208	Duplicated	Agalma_elegans@515641	487.3	295
352600at33208	Duplicated	Agalma_elegans@515644	457.7	294
352854at33208	Complete	Agalma_elegans@525165	464.1	356
353286at33208	Complete	Agalma_elegans@646820	320.5	319
353768at33208	Complete	Agalma_elegans@618076	316.2	327
354829at33208	Complete	Agalma_elegans@621090	528.0	279
354949at33208	Complete	Agalma_elegans@650741	259.0	287
355210at33208	Complete	Agalma_elegans@521455	378.0	358
355739at33208	Complete	Agalma_elegans@510569	265.0	246
356175at33208	Complete	Agalma_elegans@631249	209.2	233
356334at33208	Complete	Agalma_elegans@556390	610.1	562
356503at33208	Complete	Agalma_elegans@578992	352.7	259
357580at33208	Complete	Agalma_elegans@515369	389.2	252
359075at33208	Complete	Agalma_elegans@605154	385.7	354
359324at33208	Complete	Agalma_elegans@528772	261.9	211
359369at33208	Complete	Agalma_elegans@651506	332.9	259
360379at33208	Complete	Agalma_elegans@621957	272.8	233
360753at33208	Complete	Agalma_elegans@614053	332.8	234
361100at33208	Complete	Agalma_elegans@597466	225.2	174
361203at33208	Complete	Agalma_elegans@639982	554.8	387
361216at33208	Complete	Agalma_elegans@631185	220.3	291
363634at33208	Complete	Agalma_elegans@516847	148.4	198
363840at33208	Complete	Agalma_elegans@560667	255.9	323
363851at33208	Complete	Agalma_elegans@525300	340.6	305
364383at33208	Complete	Agalma_elegans@572570	412.1	308
364694at33208	Complete	Agalma_elegans@546138	693.4	453
365323at33208	Complete	Agalma_elegans@606167	379.2	301
365561at33208	Complete	Agalma_elegans@545642	582.7	359
365691at33208	Complete	Agalma_elegans@532363	301.7	246
366124at33208	Complete	Agalma_elegans@562118	239.9	242
366814at33208	Complete	Agalma_elegans@556836	573.9	380
366936at33208	Complete	Agalma_elegans@543264	440.6	217
367493at33208	Complete	Agalma_elegans@616849	346.9	304
367551at33208	Complete	Agalma_elegans@586677	591.6	375
367596at33208	Complete	Agalma_elegans@529871	590.2	514
367957at33208	Complete	Agalma_elegans@646845	447.8	291
368565at33208	Complete	Agalma_elegans@599379	536.0	329
368670at33208	Complete	Agalma_elegans@509092	286.1	202
368875at33208	Complete	Agalma_elegans@520883	167.9	141
371241at33208	Complete	Agalma_elegans@511733	228.3	175
371297at33208	Complete	Agalma_elegans@525249	556.5	328
371526at33208	Complete	Agalma_elegans@563885	482.7	247
372257at33208	Complete	Agalma_elegans@520711	251.1	209
372707at33208	Complete	Agalma_elegans@615609	364.3	245
373040at33208	Complete	Agalma_elegans@535098	422.3	248
376982at33208	Complete	Agalma_elegans@576225	484.3	250
378033at33208	Complete	Agalma_elegans@559326	198.1	285
378316at33208	Complete	Agalma_elegans@521590	487.5	276
378768at33208	Complete	Agalma_elegans@531869	475.8	260
378913at33208	Complete	Agalma_elegans@609050	207.7	150
379076at33208	Complete	Agalma_elegans@602916	192.4	189
379636at33208	Complete	Agalma_elegans@592177	331.8	302
379771at33208	Complete	Agalma_elegans@569662	267.3	241
380583at33208	Complete	Agalma_elegans@624671	479.5	272
381303at33208	Complete	Agalma_elegans@607976	157.7	225
382000at33208	Complete	Agalma_elegans@584566	140.3	200
382262at33208	Complete	Agalma_elegans@594056	85.0	124
382750at33208	Complete	Agalma_elegans@635123	295.4	257
383313at33208	Complete	Agalma_elegans@559272	328.6	301
384187at33208	Complete	Agalma_elegans@627565	650.1	421
386666at33208	Complete	Agalma_elegans@584155	160.5	163
387079at33208	Complete	Agalma_elegans@517867	239.9	228
387878at33208	Duplicated	Agalma_elegans@643339	313.9	353
387878at33208	Duplicated	Agalma_elegans@535514	281.3	327
389367at33208	Complete	Agalma_elegans@622942	385.0	232
389527at33208	Complete	Agalma_elegans@573731	701.2	586
389570at33208	Complete	Agalma_elegans@559301	443.8	321
389591at33208	Complete	Agalma_elegans@518401	257.9	222
390192at33208	Complete	Agalma_elegans@616617	430.2	320
390402at33208	Complete	Agalma_elegans@632944	316.6	236
391896at33208	Fragmented	Agalma_elegans@533618	263.6	166
393219at33208	Complete	Agalma_elegans@609632	220.7	245
393291at33208	Complete	Agalma_elegans@584432	403.7	297
393419at33208	Complete	Agalma_elegans@633234	415.9	426
393895at33208	Complete	Agalma_elegans@580529	681.9	418
395147at33208	Complete	Agalma_elegans@512507	337.9	275
395183at33208	Complete	Agalma_elegans@579194	295.5	173
395556at33208	Complete	Agalma_elegans@626697	286.5	249
395919at33208	Complete	Agalma_elegans@600143	335.1	274
395948at33208	Complete	Agalma_elegans@585610	212.1	331
396237at33208	Complete	Agalma_elegans@559155	338.7	275
397019at33208	Complete	Agalma_elegans@519417	569.5	302
397659at33208	Complete	Agalma_elegans@651181	321.5	388
398013at33208	Duplicated	Agalma_elegans@512350	446.2	278
398013at33208	Duplicated	Agalma_elegans@512346	435.3	278
398202at33208	Complete	Agalma_elegans@578963	224.9	256
398607at33208	Complete	Agalma_elegans@629853	341.6	219
399092at33208	Complete	Agalma_elegans@572262	267.2	179
399439at33208	Complete	Agalma_elegans@549207	183.3	148
400042at33208	Complete	Agalma_elegans@616447	240.6	309
401196at33208	Complete	Agalma_elegans@573659	124.7	151
401220at33208	Complete	Agalma_elegans@555153	472.7	334
401679at33208	Complete	Agalma_elegans@602677	88.0	95
401779at33208	Fragmented	Agalma_elegans@546885	124.8	99
403171at33208	Complete	Agalma_elegans@562121	321.2	334
403817at33208	Complete	Agalma_elegans@626262	48.7	101
404988at33208	Complete	Agalma_elegans@578467	265.8	325
405257at33208	Complete	Agalma_elegans@583230	330.4	311
406927at33208	Complete	Agalma_elegans@509098	175.0	524
407472at33208	Complete	Agalma_elegans@510092	443.0	485
409006at33208	Complete	Agalma_elegans@554196	402.3	335
409186at33208	Complete	Agalma_elegans@539190	393.8	500
411515at33208	Complete	Agalma_elegans@560908	343.7	234
411664at33208	Complete	Agalma_elegans@559313	197.7	260
411755at33208	Complete	Agalma_elegans@549902	433.6	398
412370at33208	Duplicated	Agalma_elegans@596309	110.7	139
412370at33208	Duplicated	Agalma_elegans@625037	108.8	135
412542at33208	Complete	Agalma_elegans@626250	354.3	229
412930at33208	Complete	Agalma_elegans@525343	340.6	302
413334at33208	Complete	Agalma_elegans@554441	316.2	276
414001at33208	Complete	Agalma_elegans@598471	448.5	276
414571at33208	Complete	Agalma_elegans@546025	382.4	243
414579at33208	Complete	Agalma_elegans@578167	338.9	248
414603at33208	Complete	Agalma_elegans@525685	241.5	504
415618at33208	Complete	Agalma_elegans@575960	204.8	189
416175at33208	Complete	Agalma_elegans@520637	337.1	258
418979at33208	Complete	Agalma_elegans@632139	203.7	149
419502at33208	Complete	Agalma_elegans@623298	310.5	209
419914at33208	Complete	Agalma_elegans@549624	325.1	327
421396at33208	Complete	Agalma_elegans@598778	374.9	239
421685at33208	Complete	Agalma_elegans@542711	138.0	199
421732at33208	Complete	Agalma_elegans@633307	184.3	285
422158at33208	Complete	Agalma_elegans@628747	430.4	275
422751at33208	Complete	Agalma_elegans@622704	504.1	345
423848at33208	Fragmented	Agalma_elegans@615077	77.6	124
424392at33208	Complete	Agalma_elegans@525166	375.9	231
424569at33208	Complete	Agalma_elegans@588160	247.6	159
427349at33208	Complete	Agalma_elegans@546036	369.1	242
427789at33208	Complete	Agalma_elegans@596358	531.2	394
428202at33208	Complete	Agalma_elegans@564965	544.1	361
429011at33208	Complete	Agalma_elegans@597893	165.9	164
429274at33208	Complete	Agalma_elegans@633977	225.3	199
429751at33208	Complete	Agalma_elegans@580911	214.9	409
430701at33208	Complete	Agalma_elegans@560814	161.6	185
432050at33208	Complete	Agalma_elegans@599409	403.3	243
432155at33208	Complete	Agalma_elegans@604713	45.0	138
432287at33208	Complete	Agalma_elegans@633179	166.0	263
433216at33208	Complete	Agalma_elegans@560576	365.9	254
433606at33208	Complete	Agalma_elegans@584312	158.3	166
434068at33208	Complete	Agalma_elegans@513889	461.0	465
434863at33208	Complete	Agalma_elegans@586688	336.1	245
435253at33208	Complete	Agalma_elegans@550942	141.9	276
435678at33208	Complete	Agalma_elegans@648899	338.7	343
435921at33208	Complete	Agalma_elegans@572941	166.2	106
435939at33208	Complete	Agalma_elegans@551728	184.5	161
436007at33208	Complete	Agalma_elegans@568050	586.7	402
436098at33208	Complete	Agalma_elegans@550228	206.5	199
436539at33208	Complete	Agalma_elegans@626959	245.8	178
437653at33208	Complete	Agalma_elegans@648575	146.3	180
438133at33208	Complete	Agalma_elegans@616343	495.0	284
438433at33208	Complete	Agalma_elegans@516066	161.5	115
438453at33208	Complete	Agalma_elegans@541764	407.1	259
439736at33208	Complete	Agalma_elegans@528075	486.3	371
440195at33208	Complete	Agalma_elegans@572451	289.0	212
440493at33208	Complete	Agalma_elegans@609092	267.4	273
441575at33208	Complete	Agalma_elegans@584663	254.0	401
442169at33208	Complete	Agalma_elegans@626537	388.6	368
442203at33208	Complete	Agalma_elegans@644565	437.2	344
442823at33208	Complete	Agalma_elegans@590627	306.8	292
443305at33208	Complete	Agalma_elegans@609494	366.8	406
443518at33208	Complete	Agalma_elegans@628069	381.9	247
443659at33208	Complete	Agalma_elegans@623979	149.5	116
443928at33208	Fragmented	Agalma_elegans@593048	128.8	119
444160at33208	Complete	Agalma_elegans@626694	275.9	196
444231at33208	Complete	Agalma_elegans@598203	125.9	125
445031at33208	Duplicated	Agalma_elegans@598206	344.6	308
445031at33208	Duplicated	Agalma_elegans@586170	331.6	299
445091at33208	Complete	Agalma_elegans@625998	218.0	301
446000at33208	Complete	Agalma_elegans@594765	308.0	215
446031at33208	Complete	Agalma_elegans@535144	322.0	241
447320at33208	Complete	Agalma_elegans@641155	198.3	239
447400at33208	Complete	Agalma_elegans@601767	143.9	122
448196at33208	Complete	Agalma_elegans@509747	378.8	219
449056at33208	Complete	Agalma_elegans@569178	256.4	259
449139at33208	Complete	Agalma_elegans@578220	459.2	317
449189at33208	Complete	Agalma_elegans@638891	588.0	402
450643at33208	Complete	Agalma_elegans@610291	168.4	200
450785at33208	Complete	Agalma_elegans@584134	114.7	108
451242at33208	Complete	Agalma_elegans@534942	234.8	197
451957at33208	Complete	Agalma_elegans@640356	407.9	272
452208at33208	Complete	Agalma_elegans@613872	220.9	191
452499at33208	Complete	Agalma_elegans@625130	325.4	277
452574at33208	Complete	Agalma_elegans@595474	433.3	358
453049at33208	Complete	Agalma_elegans@616730	331.5	400
453052at33208	Complete	Agalma_elegans@588727	397.9	329
453056at33208	Complete	Agalma_elegans@608889	449.1	367
453687at33208	Complete	Agalma_elegans@568308	340.3	267
454911at33208	Complete	Agalma_elegans@520761	599.3	622
455512at33208	Complete	Agalma_elegans@554765	187.1	188
455941at33208	Complete	Agalma_elegans@529648	261.8	243
456998at33208	Complete	Agalma_elegans@639539	195.7	174
457777at33208	Complete	Agalma_elegans@535141	492.2	319
458807at33208	Complete	Agalma_elegans@558823	390.2	272
458974at33208	Complete	Agalma_elegans@511714	129.4	146
458988at33208	Complete	Agalma_elegans@596565	559.6	465
459253at33208	Complete	Agalma_elegans@623151	301.3	211
460518at33208	Complete	Agalma_elegans@565282	229.1	177
461123at33208	Complete	Agalma_elegans@531636	191.3	214
461193at33208	Fragmented	Agalma_elegans@592098	163.6	128
462325at33208	Complete	Agalma_elegans@526004	375.0	294
462897at33208	Complete	Agalma_elegans@617920	379.0	334
464204at33208	Complete	Agalma_elegans@633702	364.2	298
464243at33208	Complete	Agalma_elegans@517089	64.0	118
464286at33208	Complete	Agalma_elegans@532206	244.5	281
464312at33208	Complete	Agalma_elegans@543941	229.3	290
464987at33208	Fragmented	Agalma_elegans@643100	145.8	94
465092at33208	Complete	Agalma_elegans@596101	302.7	218
465401at33208	Complete	Agalma_elegans@596992	256.2	214
465512at33208	Complete	Agalma_elegans@564838	833.3	811
465651at33208	Complete	Agalma_elegans@572539	127.6	132
465703at33208	Complete	Agalma_elegans@586130	264.4	200
465933at33208	Complete	Agalma_elegans@648210	272.2	223
466616at33208	Complete	Agalma_elegans@581500	481.6	603
466942at33208	Complete	Agalma_elegans@632824	136.6	193
467106at33208	Complete	Agalma_elegans@637558	328.1	252
467142at33208	Complete	Agalma_elegans@537808	274.8	299
467744at33208	Complete	Agalma_elegans@644741	264.5	256
468248at33208	Complete	Agalma_elegans@531145	409.3	267
468359at33208	Complete	Agalma_elegans@639419	416.9	324
468631at33208	Complete	Agalma_elegans@610248	157.1	172
468710at33208	Complete	Agalma_elegans@548778	125.0	167
468757at33208	Complete	Agalma_elegans@544742	339.1	271
469367at33208	Complete	Agalma_elegans@640791	317.9	291
470197at33208	Complete	Agalma_elegans@641250	189.6	277
470523at33208	Complete	Agalma_elegans@596228	240.0	189
471608at33208	Complete	Agalma_elegans@567728	311.4	213
471787at33208	Complete	Agalma_elegans@643843	370.9	300
472313at33208	Complete	Agalma_elegans@626998	353.7	249
472352at33208	Complete	Agalma_elegans@600150	186.2	221
473106at33208	Complete	Agalma_elegans@529811	412.6	310
474144at33208	Complete	Agalma_elegans@641646	238.5	200
474302at33208	Complete	Agalma_elegans@542157	192.8	201
474387at33208	Complete	Agalma_elegans@632922	366.1	333
475826at33208	Complete	Agalma_elegans@581894	215.1	209
476036at33208	Complete	Agalma_elegans@620006	342.7	238
477052at33208	Complete	Agalma_elegans@585749	187.4	186
477939at33208	Complete	Agalma_elegans@516948	252.8	251
477998at33208	Complete	Agalma_elegans@531760	257.4	384
478073at33208	Duplicated	Agalma_elegans@536603	400.0	225
478073at33208	Duplicated	Agalma_elegans@536602	371.8	202
478984at33208	Complete	Agalma_elegans@591507	326.1	249
480700at33208	Complete	Agalma_elegans@530037	169.2	170
480735at33208	Complete	Agalma_elegans@647325	313.5	243
481557at33208	Complete	Agalma_elegans@575549	215.6	306
482691at33208	Complete	Agalma_elegans@519940	402.7	267
483489at33208	Complete	Agalma_elegans@541135	154.7	204
485003at33208	Complete	Agalma_elegans@558283	252.3	189
485696at33208	Complete	Agalma_elegans@534608	207.1	224
486370at33208	Complete	Agalma_elegans@621681	248.0	271
486431at33208	Complete	Agalma_elegans@513857	375.8	424
486743at33208	Complete	Agalma_elegans@525220	125.4	169
486993at33208	Duplicated	Agalma_elegans@511785	296.9	247
486993at33208	Duplicated	Agalma_elegans@618019	259.4	247
487873at33208	Complete	Agalma_elegans@630607	106.7	124
487987at33208	Complete	Agalma_elegans@581082	125.9	149
488559at33208	Complete	Agalma_elegans@519022	172.6	154
488635at33208	Complete	Agalma_elegans@555240	219.5	238
489359at33208	Complete	Agalma_elegans@604033	175.5	200
