Orthogroup,class,Common_blast,species,tissue,expression,Gene,gene_tree
OG0003705,TVG,O43315|AQP9_HUMAN Aquaporin-9,Agalma elegans,PalmatGasmat,0.6268231115859046,637386,7eee76f108e4b1449d77dabd84762ca3
OG0003722,TVG,Q2TBI0|LBP_BOVIN Lipopolysaccharide-binding protein,Agalma elegans,PalmatGasmat,1.305177448538318,626542,006338147c0873a0224de00fc9978cc8
OG0003897,TVG,P31285|WNT3A_XENLA Protein Wnt-3a,Agalma elegans,PalmatGasmat,0.9582391263059773,648481,8f3952f0c30927ef317397dc02bf2a14
OG0003729,TVG,P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1,Agalma elegans,PalmatGasmat,0.7420929180994114,533152,c8fab9fcb9ba76e6ca327d250a008b3c
OG0003736,TVG,Q22782|RAB6B_CAEEL Ras-related protein Rab-6.2,Agalma elegans,PalmatGasmat,0.9874893905335907,564774,NA
OG0005478,TVG,Q9MYU8|E41L5_CANLF Band 4.1-like protein 5,Agalma elegans,PalmatGasmat,0.9907594729838758,520034,NA
OG0003708,TVG,P07942|LAMB1_HUMAN Laminin subunit beta-1,Agalma elegans,PalmatGasmat,0.8329553922301408,536022,f6bd0936d602b9e1c1376d82f0fc59e1
OG0003755,TVG,Q86SQ4|AGRG6_HUMAN Adhesion G-protein coupled receptor G6,Agalma elegans,PalmatGasmat,0.6947111638842337,539142,05863c7deb9c9002b462e1b716c77ed0
OG0003800,TVG,O08662|PI4KA_RAT Phosphatidylinositol 4-kinase alpha,Agalma elegans,PalmatGasmat,0.8077464745479603,553285,NA
OG0003614,TVG,Q9UQ90|SPG7_HUMAN Paraplegin {ECO:0000250|UniProtKB:Q3ULF4},Agalma elegans,PalmatGasmat,0.916538675929312,509795,8a93a89164d7dcd748fd45efed7b41a9
OG0003812,TVG,P50059|SODM2_LEPBY Superoxide dismutase [Mn] 2,Agalma elegans,PalmatGasmat,1.0207886449411445,579825,a4f5df5979b46e1403b54efa3b55aa29
OG0003820,TVG,A6H584|CO6A5_MOUSE Collagen alpha-5(VI) chain,Agalma elegans,PalmatGasmat,0.6078122008371103,523424,NA
OG0003860,TVG,Q9Y238|DLEC1_HUMAN Deleted in lung and esophageal cancer protein 1,Agalma elegans,PalmatGasmat,0.9399916510028735,644566,8a6dfb6f10e33cf5d3d0f7595d5243f1
OG0003421,TVG,"Q9NRK6|ABCBA_HUMAN ATP-binding cassette sub-family B member 10, mitochondrial",Agalma elegans,PalmatGasmat,0.8710648589748067,527697,NA
OG0003870,TVG,"Q91W43|GCSP_MOUSE Glycine dehydrogenase (decarboxylating), mitochondrial",Agalma elegans,PalmatGasmat,0.9972952922136745,539152,NA
OG0003881,TVG,Q9Y2D2|S35A3_HUMAN UDP-N-acetylglucosamine transporter,Agalma elegans,PalmatGasmat,0.9076656461855497,586010,NA
OG0006323,TVG,Q9CR50|ZN363_MOUSE RING finger and CHY zinc finger domain-containing protein 1,Agalma elegans,PalmatGasmat,0.7716876671272306,530117,a156beb0a6fd4541f9da7954c2a5e121
OG0003894,TVG,P49815|TSC2_HUMAN Tuberin,Agalma elegans,PalmatGasmat,0.8423439883788267,554152,e5f6595b6e88657d387baba18ecbc455
OG0003938,TVG,Q9DE46|DPOLA_XENLA DNA polymerase alpha catalytic subunit,Agalma elegans,PalmatGasmat,0.8285911427216955,516961,NA
OG0004141,TVG,Q9Z247|FKBP9_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP9,Agalma elegans,PalmatGasmat,0.9867213276960011,563293,7a6703bc1fadc42d2870c6b902f4d4a8
OG0003942,TVG,Q9Y295|DRG1_HUMAN Developmentally-regulated GTP-binding protein 1,Agalma elegans,PalmatGasmat,0.9420297851859198,516697,NA
OG0004005,TVG,"Q9NQ66|PLCB1_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",Agalma elegans,PalmatGasmat,0.859554868663988,594621,984e502d9a8dd4243790e2e9c289468a
OG0003485,TVG,P20735|GGT1_PIG Gamma-glutamyltranspeptidase 1,Agalma elegans,PalmatGasmat,0.3676765698169072,592784,94ea9abcdb525e55c7e2a64fada709ce
OG0003486,TVG,P20735|GGT1_PIG Gamma-glutamyltranspeptidase 1,Agalma elegans,PalmatGasmat,0.48936375968131923,529688,94ea9abcdb525e55c7e2a64fada709ce
OG0003994,TVG,Q99LJ1|FUCO_MOUSE Tissue alpha-L-fucosidase,Agalma elegans,PalmatGasmat,0.4522558312810529,618788,87c365632ef1e9ffff6f1b2e41196de7
OG0004020,TVG,Q15477|SKIV2_HUMAN Helicase SKI2W,Agalma elegans,PalmatGasmat,0.763703863642176,559524,NA
OG0007058,TVG,Q28IM6|HPCL1_XENTR Hippocalcin-like protein 1,Agalma elegans,PalmatGasmat,1.107212665622871,641015,NA
OG0004059,TVG,Q9Y566|SHAN1_HUMAN SH3 and multiple ankyrin repeat domains protein 1,Agalma elegans,PalmatGasmat,0.969313886863638,549147,NA
OG0003563,TVG,"Q29RK2|PYC_BOVIN Pyruvate carboxylase, mitochondrial",Agalma elegans,PalmatGasmat,1.0189952133747997,630869,ddccc7a04505eda9628b3aba33cbbc39
OG0004075,TVG,"Q922D8|C1TC_MOUSE C-1-tetrahydrofolate synthase, cytoplasmic",Agalma elegans,PalmatGasmat,0.742832306412804,555421,fcacb94e6f320e88e89c6ada99ba590a
OG0006030,TVG,Q8NI77|KI18A_HUMAN Kinesin-like protein KIF18A,Agalma elegans,PalmatGasmat,0.9106039878283217,648335,NA
OG0004016,TVG,Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 {ECO:0000305},Agalma elegans,PalmatGasmat,0.9327083692227754,523393,aadacd4b8b8db5ec6a8a3475acd7d8ba
OG0004124,TVG,Q66L58|VAC14_DANRE Protein VAC14 homolog,Agalma elegans,PalmatGasmat,0.6947073033649944,569477,ac09dbae794a12023f936ebb0d9cad06
OG0004135,TVG,Q5ZLT0|XPO7_CHICK Exportin-7,Agalma elegans,PalmatGasmat,0.8152354531540419,571533,NA
OG0004153,TVG,Q8VI60|SULF1_RAT Extracellular sulfatase Sulf-1,Agalma elegans,PalmatGasmat,0.9184345663558579,595884,f6126d5e908c3a2f7fac8bc2d2c8397d
OG0004182,TVG,P20936|RASA1_HUMAN Ras GTPase-activating protein 1,Agalma elegans,PalmatGasmat,0.986025502409689,628664,963b33c0a0490ebd1650c53edcea1c33
OG0004190,TVG,Q6UXG2|K1324_HUMAN UPF0577 protein KIAA1324,Agalma elegans,PalmatGasmat,0.868607318038927,575303,85d5def2527734d2613cc2259bfa47ba
OG0004225,TVG,Q9DC40|TELO2_MOUSE Telomere length regulation protein TEL2 homolog,Agalma elegans,PalmatGasmat,0.811807776758433,646043,7f5bb655dd9363732e10e1d4353b77bb
OG0004231,TVG,Q9EQW8|NDST4_MOUSE Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,Agalma elegans,PalmatGasmat,0.72384080961589925,575025,eeaf04a7dfa30a6a8114f031169b8b29
OG0004171,TVG,Q9PVK2|ENOA_ALLMI Alpha-enolase,Agalma elegans,PalmatGasmat,0.9694025342837621,644572,NA
OG0004208,TVG,Q3T1G7|COG7_RAT Conserved oligomeric Golgi complex subunit 7,Agalma elegans,PalmatGasmat,0.852489256108346,556763,a6148c2a2bf025c6652d7300e893d80b
OG0004280,TVG,Q71B07|D19L3_MOUSE Probable C-mannosyltransferase DPY19L3,Agalma elegans,PalmatGasmat,0.7557660121468723,611685,15638cf889d185250abdacf25077c1dd
OG0004184,TVG,Q5XPI4|RN123_HUMAN E3 ubiquitin-protein ligase RNF123,Agalma elegans,PalmatGasmat,0.8379394974788058,533780,NA
OG0004261,TVG,Q86VS8|HOOK3_HUMAN Protein Hook homolog 3,Agalma elegans,PalmatGasmat,0.8487600261511556,541308,NA
OG0004268,TVG,Q96RW7|HMCN1_HUMAN Hemicentin-1,Agalma elegans,PalmatGasmat,1.3047835886632968,608564,NA
OG0004285,TVG,Q5R733|CPEB1_PONAB Cytoplasmic polyadenylation element-binding protein 1,Agalma elegans,PalmatGasmat,0.9423787012385595,641533,NA
OG0004305,TVG,P25071|CML12_ARATH Calmodulin-like protein 12,Agalma elegans,PalmatGasmat,0.9953271581619316,634425,1019786d3ac3b4cb431761143cd3b1f8
OG0004255,TVG,Q6NS52|DGKB_MOUSE Diacylglycerol kinase beta,Agalma elegans,PalmatGasmat,0.7889891995028879,562264,e8e9002d99f70db1781266ac6c630aa6
OG0004279,TVG,"H9D1R1|TXD12_EPICO Thioredoxin domain-containing protein 12 {ECO:0000303|PubMed:22789714, ECO:0000312|EMBL:AFD54638.1}",Agalma elegans,PalmatGasmat,0.3648558680178297,569953,NA
OG0004288,TVG,Q9Y3B3|TMED7_HUMAN Transmembrane emp24 domain-containing protein 7,Agalma elegans,PalmatGasmat,0.38776518979785574,556935,09360e59a88ae6de2e78941f3df87aed
OG0003806,TVG,Q9HAV0|GBB4_HUMAN Guanine nucleotide-binding protein subunit beta-4,Agalma elegans,PalmatGasmat,0.8459059741335954,592349,NA
OG0003795,TVG,Q9H3S7|PTN23_HUMAN Tyrosine-protein phosphatase non-receptor type 23,Agalma elegans,PalmatGasmat,0.7949145235323367,509966,NA
OG0004343,TVG,P48508|GSH0_RAT Glutamate--cysteine ligase regulatory subunit,Agalma elegans,PalmatGasmat,0.7658820943112566,596309,4c347bda6e07ac5525dfccc831daf4d5
OG0004354,TVG,Q6P7A2|UBE4A_RAT Ubiquitin conjugation factor E4 A {ECO:0000305},Agalma elegans,PalmatGasmat,0.9027458597473228,597942,f1b47342845069388036b198e79d0a63
OG0003367,TVG,"Q3ZCH0|GRP75_BOVIN Stress-70 protein, mitochondrial",Agalma elegans,PalmatGasmat,0.9494528601678627,603908,a2ef38e5bc68e2a12e7f5aa4e5ae3051
OG0004235,TVG,P25228|RAB3_DROME Ras-related protein Rab-3,Agalma elegans,PalmatGasmat,0.9046290747122647,592656,NA
OG0004355,TVG,Q571H0|NPA1P_MOUSE Nucleolar pre-ribosomal-associated protein 1,Agalma elegans,PalmatGasmat,0.7409851917727719,513037,d62b3ef5d446fae0e45bb5dcd07bf7dd
OG0004903,TVG,Q9H3U7|SMOC2_HUMAN SPARC-related modular calcium-binding protein 2,Agalma elegans,PalmatGasmat,0.4880017984353698,634958,cc83734e14c1d42c1b69fd2671aaa616
OG0004240,TVG,Q80TI1|PKHH1_MOUSE Pleckstrin homology domain-containing family H member 1,Agalma elegans,PalmatGasmat,0.6897291654887523,651745,d6c93adca245e4f7733deb6b51dadb8b
OG0004423,TVG,Q8R1U1|COG4_MOUSE Conserved oligomeric Golgi complex subunit 4,Agalma elegans,PalmatGasmat,0.8100272037841489,609338,NA
OG0003542,TVG,Q8BG58|P4HTM_MOUSE Transmembrane prolyl 4-hydroxylase,Agalma elegans,PalmatGasmat,0.4061541434679397,606853,1e448fa97ec7a23a95e39442d5262c0c
OG0004481,TVG,Q8WUQ7|CATIN_HUMAN Cactin,Agalma elegans,PalmatGasmat,0.9337930048489498,531250,4df95dc3af3619816ac73fe6608daa58
OG0004547,TVG,P62282|RS11_RAT 40S ribosomal protein S11,Agalma elegans,PalmatGasmat,1.0439496463195317,626951,NA
OG0003522,TVG,Q9Y5Y0|FLVC1_HUMAN Feline leukemia virus subgroup C receptor-related protein 1,Agalma elegans,PalmatGasmat,0.7470207542537105,585105,a381686740083da6c0a79f27a2f9d0f6
OG0004439,TVG,Q90YW0|RL9_ICTPU 60S ribosomal protein L9,Agalma elegans,PalmatGasmat,1.0111761563712243,516039,NA
OG0004573,TVG,Q6PFJ7|NSMA3_DANRE Sphingomyelin phosphodiesterase 4,Agalma elegans,PalmatGasmat,0.7840735796748154,563589,29a953e46c004ad1317bab186b09debc
OG0004604,TVG,Q7XP59|GLR31_ORYSJ Glutamate receptor 3.1,Agalma elegans,PalmatGasmat,0.7570136985884129,593359,443d3f53297c9e23778ce5ea064141fc
OG0003448,TVG,P42892|ECE1_HUMAN Endothelin-converting enzyme 1,Agalma elegans,PalmatGasmat,0.5486448401912043,625537,NA
OG0004532,TVG,Q4R591|G6PI_MACFA Glucose-6-phosphate isomerase,Agalma elegans,PalmatGasmat,0.842393731526308,557047,NA
OG0004957,TVG,Q9VMA7|TGO1_DROME Transport and Golgi organization protein 1,Agalma elegans,PalmatGasmat,0.8184325943815813,540672,NA
OG0007150,TVG,"Q8N8Z6|DCBD1_HUMAN Discoidin, CUB and LCCL domain-containing protein 1",Agalma elegans,PalmatGasmat,0.5147160062170065,546811,NA
OG0007273,TVG,Q91905|FXI1B_XENLA Forkhead box protein I1-B,Agalma elegans,PalmatGasmat,0.42901294540830853,651579,NA
OG0007322,TVG,Q91905|FXI1B_XENLA Forkhead box protein I1-B,Agalma elegans,PalmatGasmat,0.39550196413093114,629594,NA
OG0004433,TVG,Q9WV92|E41L3_MOUSE Band 4.1-like protein 3,Agalma elegans,PalmatGasmat,0.9334359986417428,642901,d2ecb42e98fb57d6f4eccba06f825e2a
OG0004552,TVG,Q9D1E5|LMBRL_MOUSE Protein LMBR1L,Agalma elegans,PalmatGasmat,0.9261115660322446,537679,2a0e93b0755625d9aa909a7e727fb783
OG0004585,TVG,Q8CHT3|INT5_MOUSE Integrator complex subunit 5,Agalma elegans,PalmatGasmat,0.7763541512566746,638050,NA
OG0004590,TVG,Q4V8A2|CDC27_RAT Cell division cycle protein 27 homolog,Agalma elegans,PalmatGasmat,0.8781265374515377,582367,b74136ac8cff2082955bb708213a01e1
OG0004685,TVG,Q9ESJ4|SPN90_MOUSE NCK-interacting protein with SH3 domain,Agalma elegans,PalmatGasmat,0.840853835388111,582128,1d7daef1e2a46b4d67d4332b93166736
OG0004664,TVG,Q8BRH4|KMT2C_MOUSE Histone-lysine N-methyltransferase 2C,Agalma elegans,PalmatGasmat,0.7556953668361367,631191,d27ff92ca2dc6ffa25b7d6c9451cf014
OG0005938,TVG,Q8C6K9|CO6A6_MOUSE Collagen alpha-6(VI) chain,Agalma elegans,PalmatGasmat,0.7316228463686473,539064,NA
OG0004369,TVG,P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase,Agalma elegans,PalmatGasmat,0.986954004697042,635158,e67424372e44ffe636d961f13624faf7
OG0004714,TVG,Q9ERG2|STRN3_MOUSE Striatin-3,Agalma elegans,PalmatGasmat,0.7648366195518201,596397,966d2cb6ea2cf0ae2c018937f6020296
OG0003435,TVG,Q9Y230|RUVB2_HUMAN RuvB-like 2,Agalma elegans,PalmatGasmat,0.8515408381103158,536722,NA
OG0004616,TVG,P46778|RL21_HUMAN 60S ribosomal protein L21,Agalma elegans,PalmatGasmat,0.9875320492406149,567323,NA
OG0004727,TVG,Q70JA7|CHSS3_HUMAN Chondroitin sulfate synthase 3,Agalma elegans,PalmatGasmat,0.46293524610943526,520795,2b015d0d18e9e8fa39b82b4ff4e4612c
OG0004811,TVG,Q8IVT5|KSR1_HUMAN Kinase suppressor of Ras 1,Agalma elegans,PalmatGasmat,0.8658488351340297,587240,NA
OG0004814,TVG,Q7L5Y6|DET1_HUMAN DET1 homolog,Agalma elegans,PalmatGasmat,0.6800548784841893,621667,NA
OG0004540,TVG,"P09623|DLDH_PIG Dihydrolipoyl dehydrogenase, mitochondrial",Agalma elegans,PalmatGasmat,0.9161563123853312,595659,893967b58b8a812375c8379624bc662b
OG0004689,TVG,Q96RF0|SNX18_HUMAN Sorting nexin-18,Agalma elegans,PalmatGasmat,0.8893043209958409,617003,d6222e78e70e6341a5f4f30cdc3a72f0
OG0004896,TVG,Q9Y3M9|ZN337_HUMAN Zinc finger protein 337,Agalma elegans,PalmatGasmat,0.680106388366922,572184,c68eaae43a6da428c5c5780328a86739
OG0004910,TVG,Q9UBQ7|GRHPR_HUMAN Glyoxylate reductase/hydroxypyruvate reductase,Agalma elegans,PalmatGasmat,1.079354093322592,548649,NA
OG0004657,TVG,P91427|PGK_CAEEL Probable phosphoglycerate kinase,Agalma elegans,PalmatGasmat,1.0015003920680263,576347,NA
OG0003409,TVG,Q62381|TLL1_MOUSE Tolloid-like protein 1,Agalma elegans,PalmatGasmat,1.0793401667590021,561807,NA
OG0003901,TVG,Q5NVI9|DNJA1_PONAB DnaJ homolog subfamily A member 1,Agalma elegans,PalmatGasmat,0.9828848974427897,574573,3d9839e2933adcb4c1b18c84d0f4dce5
OG0004838,TVG,Q5R5F2|COPZ1_PONAB Coatomer subunit zeta-1,Agalma elegans,PalmatGasmat,0.8167404728241865,602064,NA
OG0005025,TVG,Q7YQK9|TSN7_PONPY Tetraspanin-7,Agalma elegans,PalmatGasmat,1.008818490854259,647060,NA
OG0005043,TVG,Q8K3X2|FCL_CRIGR GDP-L-fucose synthase,Agalma elegans,PalmatGasmat,0.9204077836537728,532350,NA
OG0004911,TVG,Q9W5E1|RBX1A_DROME RING-box protein 1A,Agalma elegans,PalmatGasmat,0.8687910745803882,516953,NA
OG0005049,TVG,"Q3T0B6|C1QBP_BOVIN Complement component 1 Q subcomponent-binding protein, mitochondrial",Agalma elegans,PalmatGasmat,0.9219658490888564,570635,58527e94f37f62cac22a5e2e8af3e578
OG0004985,TVG,P55197|AF10_HUMAN Protein AF-10,Agalma elegans,PalmatGasmat,0.7901764126197015,586925,740a87859f9da74b7e54c88a41e8cb71
OG0004990,TVG,Q6DCE3|ZNT9_XENLA Zinc transporter 9,Agalma elegans,PalmatGasmat,0.9153674726305949,566625,9c63d21e07f751119f30ba373c8fa88c
OG0005067,TVG,Q8K2C9|HACD3_MOUSE Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 {ECO:0000305},Agalma elegans,PalmatGasmat,0.7014639385189766,605446,6938619a50dd0f702ebf4e2f06418a4b
OG0003878,TVG,Q5ZMP6|AP2M1_CHICK AP-2 complex subunit mu,Agalma elegans,PalmatGasmat,0.8762091578313272,650565,NA
OG0004738,TVG,P62246|RS15A_RAT 40S ribosomal protein S15a,Agalma elegans,PalmatGasmat,0.9788103740196467,564136,NA
OG0004975,TVG,Q6EE31|TCPQ_CHICK T-complex protein 1 subunit theta,Agalma elegans,PalmatGasmat,0.9634251970430666,580882,NA
OG0004987,TVG,A7RJI7|CCZ1_NEMVE Vacuolar fusion protein CCZ1 homolog,Agalma elegans,PalmatGasmat,0.9099599099479649,586039,42127106b1622fb18599bc4a61b55c07
OG0005001,TVG,Q9EQS0|TALDO_RAT Transaldolase,Agalma elegans,PalmatGasmat,0.9346738757192943,632818,NA
OG0005026,TVG,"P30038|AL4A1_HUMAN Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",Agalma elegans,PalmatGasmat,0.9651540595269159,645329,NA
OG0005058,TVG,Q9GRC0|MOS_PATPE Serine/threonine-protein kinase mos {ECO:0000250|UniProtKB:P10741},Agalma elegans,PalmatGasmat,0.5364262670288181,579539,NA
OG0005208,TVG,"P0C026|NUD24_ARATH Nudix hydrolase 24, chloroplastic",Agalma elegans,PalmatGasmat,0.5598059754982657,521463,77f265d0a142d235a7cb8cc2bca43546
OG0007135,TVG,Q9Y4X4|KLF12_HUMAN Krueppel-like factor 12,Agalma elegans,PalmatGasmat,0.8500040571584904,613425,e7e189bafbf6f8ca89bb1e62a31617b7
OG0005014,TVG,"G5EFZ1|GPMI_CAEEL 2,3-bisphosphoglycerate-independent phosphoglycerate mutase {ECO:0000305|PubMed:15234973}",Agalma elegans,PalmatGasmat,0.9872172415599155,589693,NA
OG0005032,TVG,Q8WVM8|SCFD1_HUMAN Sec1 family domain-containing protein 1,Agalma elegans,PalmatGasmat,0.8664188617993367,514760,NA
OG0005066,TVG,Q6GQ69|FAF2B_XENLA FAS-associated factor 2-B,Agalma elegans,PalmatGasmat,0.8833514254146826,590627,19f981dab518037af403f9f3d75051f6
OG0005118,TVG,Q9H6Q4|NARFL_HUMAN Cytosolic Fe-S cluster assembly factor NARFL,Agalma elegans,PalmatGasmat,0.7334367634727887,605985,5ead4af1cb4cff389169a1fe7b09a72f
OG0005227,TVG,Q5RD33|APBA2_PONAB Amyloid beta A4 precursor protein-binding family A member 2,Agalma elegans,PalmatGasmat,0.7195778381989147,530460,NA
OG0005311,TVG,Q8WV93|LACE1_HUMAN Lactation elevated protein 1,Agalma elegans,PalmatGasmat,0.8137985843791378,614628,ebee3bf9720549661d1b207e9eb10d2f
OG0003348,TVG,Q9DBN9|DDX59_MOUSE Probable ATP-dependent RNA helicase DDX59,Agalma elegans,PalmatGasmat,0.8492700511689649,609560,96e98b377bbf70db4b8d0db1a10db7ee
OG0003463,TVG,P53041|PPP5_HUMAN Serine/threonine-protein phosphatase 5,Agalma elegans,PalmatGasmat,0.8502671608440294,608845,dd8605c65e3c7ddbd9fba1390d7a41e7
OG0005191,TVG,A7SPX9|EIF3M_NEMVE Eukaryotic translation initiation factor 3 subunit M {ECO:0000255|HAMAP-Rule:MF_03012},Agalma elegans,PalmatGasmat,0.9736199354789655,618076,9aae5746f8ef03e908f875ec7bce516b
OG0005202,TVG,Q9QZ73|DCNL1_MOUSE DCN1-like protein 1,Agalma elegans,PalmatGasmat,0.9230700441590292,517073,NA
OG0005205,TVG,Q8BK64|AHSA1_MOUSE Activator of 90 kDa heat shock protein ATPase homolog 1,Agalma elegans,PalmatGasmat,0.9054179016703945,543091,9fe5b1dcbfd4189b959607259b502764
OG0005229,TVG,Q58E76|ATD3A_XENLA ATPase family AAA domain-containing protein 3-A,Agalma elegans,PalmatGasmat,0.8949740935985907,592965,7673c6f1b130297d1e5bc1c2d24e945a
OG0005243,TVG,"Q8HXY4|ODBA_MACFA 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Agalma elegans,PalmatGasmat,0.7222809279532575,583716,NA
OG0005293,TVG,Q8CF89|TAB1_MOUSE TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Agalma elegans,PalmatGasmat,0.8248802062155263,570421,8e028d07a672340f7a8eae7955a8d7f4
OG0005343,TVG,Q6ZV70|LANC3_HUMAN LanC-like protein 3,Agalma elegans,PalmatGasmat,0.8946918265085896,523964,NA
OG0005585,TVG,Q9UQB3|CTND2_HUMAN Catenin delta-2,Agalma elegans,PalmatGasmat,0.8877150389787594,520856,813fc8fa4022ff4ba937e1622e0007c9
OG0005295,TVG,Q5BJ68|NB5R2_XENTR NADH-cytochrome b5 reductase 2,Agalma elegans,PalmatGasmat,0.9436271978982552,591431,NA
OG0005368,TVG,"P35738|ODBB_RAT 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",Agalma elegans,PalmatGasmat,0.9303603826103714,555041,NA
OG0005433,TVG,Q8IZN3|ZDH14_HUMAN Probable palmitoyltransferase ZDHHC14,Agalma elegans,PalmatGasmat,0.7944772748821826,561890,NA
OG0005580,TVG,A9CB34|SFI1_PAPAN Protein SFI1 homolog,Agalma elegans,PalmatGasmat,0.7298956433890518,645449,895631961ba45b4ef019476a671daffc
OG0005581,TVG,B0KWR6|SFI1_CALJA Protein SFI1 homolog,Agalma elegans,PalmatGasmat,0.8326274064381071,645450,895631961ba45b4ef019476a671daffc
OG0006068,TVG,Q9BSE4|HERP2_HUMAN Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein,Agalma elegans,PalmatGasmat,0.8461448147870725,563282,NA
OG0005305,TVG,Q803C9|PTSS1_DANRE Phosphatidylserine synthase 1,Agalma elegans,PalmatGasmat,0.8451322852709529,617071,NA
OG0003687,TVG,Q9Y6V7|DDX49_HUMAN Probable ATP-dependent RNA helicase DDX49,Agalma elegans,PalmatGasmat,0.8319778722175273,642851,b4f8bab9d4b5ed5e60d829733fb59ab0
OG0005054,TVG,Q8IVI9|NOSTN_HUMAN Nostrin,Agalma elegans,PalmatGasmat,0.9621521895712681,546453,455c7ac994a28e9f0059e1127dd5d644
OG0005355,TVG,"P52209|6PGD_HUMAN 6-phosphogluconate dehydrogenase, decarboxylating",Agalma elegans,PalmatGasmat,0.9712954316689162,614732,NA
OG0005366,TVG,Q5R9I4|TV23B_PONAB Golgi apparatus membrane protein TVP23 homolog B,Agalma elegans,PalmatGasmat,0.8216181630448622,596087,NA
OG0005373,TVG,Q5RDQ8|GRM7_PONAB Metabotropic glutamate receptor 7,Agalma elegans,PalmatGasmat,1.0434698795389923,624512,72b1907070d819f6451f6e8308860789
OG0005531,TVG,Q9NYH9|UTP6_HUMAN U3 small nucleolar RNA-associated protein 6 homolog,Agalma elegans,PalmatGasmat,0.905686084541494,589191,c8fca582791684802c34500274034587
OG0005629,TVG,Q9JJJ7|PORCN_MOUSE Protein-serine O-palmitoleoyltransferase porcupine {ECO:0000305},Agalma elegans,PalmatGasmat,0.8155060115593702,610646,a605185cdc5586fdb8bfe3c5cfb78ee0
OG0005501,TVG,Q96DF8|DGC14_HUMAN Protein DGCR14,Agalma elegans,PalmatGasmat,0.8626487977754326,531716,NA
OG0005773,TVG,O60494|CUBN_HUMAN Cubilin,Agalma elegans,PalmatGasmat,1.1797599952005773,531457,NA
OG0003431,TVG,Q32KM1|TBG2_BOVIN Tubulin gamma-2 chain,Agalma elegans,PalmatGasmat,0.8172111739793163,543133,NA
