gene_tree,S_child,S_new,change,treatment,change_direction,blast_hit,GO
1ff1b2211c216310478672808ff4a03e,35,L,8.413767267005232,PalmatGasmat,Positive,Q6DFF6|KLH20_XENLA Kelch-like protein 20,GO:0031463;GO:0003779;GO:0016567;GO:0015629;GO:0042802;GO:0005737;GO:0016021
2b9e844efda3994bdc0d1cfc3bceef9e,32,K,5.542309105805629,PalmatGasmat,Positive,Q86WI1|PKHL1_HUMAN Fibrocystin-L,GO:0007156;GO:0005509;GO:0005886;GO:0016021;GO:0000272
2b9e844efda3994bdc0d1cfc3bceef9e,32,K,3.922927225177782,PalmatGasmat,Positive,Q86WI1|PKHL1_HUMAN Fibrocystin-L,GO:0007156;GO:0005509;GO:0005886;GO:0016021;GO:0000272
5d259997cab4e3d0d019243749232aa4,35,L,8.909800774560193,PalmatGasmat,Positive,Q04656|ATP7A_HUMAN Copper-transporting ATPase 1,GO:0019829;GO:0098655;GO:0016021;GO:0030001;GO:0005507;GO:0005524
5d259997cab4e3d0d019243749232aa4,32,K,2.0900596213716156,PalmatGasmat,Positive,Q04656|ATP7A_HUMAN Copper-transporting ATPase 1,GO:0019829;GO:0098655;GO:0016021;GO:0030001;GO:0005507;GO:0005524
9a100c2b265bb95e0dddb7c15dc2a21b,32,K,2.6045989451128992,PalmatGasmat,Positive,O35920|CAN9_RAT Calpain-9,GO:0004198;GO:0006508;GO:0005737;GO:0045214;GO:0016020;GO:0005509;GO:0016322;GO:0007298;GO:0051604
65be36cb797b3d9a73c8795d3485a607,N37,E,14.490789696496979,PalmatGasmat,Positive,Q54TR1|CFAD_DICDI Counting factor associated protein D,GO:0008234;GO:0006508;GO:0016021
65be36cb797b3d9a73c8795d3485a607,35,L,40.24361367136942,PalmatGasmat,Positive,Q54TR1|CFAD_DICDI Counting factor associated protein D,GO:0008234;GO:0006508;GO:0016021
65be36cb797b3d9a73c8795d3485a607,N37,E,22.472000156258947,PalmatGasmat,Positive,Q54TR1|CFAD_DICDI Counting factor associated protein D,GO:0008234;GO:0006508;GO:0016021
65be36cb797b3d9a73c8795d3485a607,32,K,24.069141528819785,PalmatGasmat,Positive,Q54TR1|CFAD_DICDI Counting factor associated protein D,GO:0008234;GO:0006508;GO:0016021
65be36cb797b3d9a73c8795d3485a607,35,L,44.90547915693492,PalmatGasmat,Positive,Q54TR1|CFAD_DICDI Counting factor associated protein D,GO:0008234;GO:0006508;GO:0016021
29f359149cbad348b9022cd26e67c297,35,L,2.0788297190059706,PalmatGasmat,Positive,Q868Z9|PPN_DROME Papilin,GO:0004867;GO:0007596;GO:0005576;GO:0010951;GO:0005201;GO:0071498
00b49efef456da590c2a4ba60be4ad57,32,K,2.7664239086116873,PalmatGasmat,Positive,Q9JI85|NUCB2_RAT Nucleobindin-2,GO:0005509
a94a71aaf22392341e95ce059a733571,26,J,2.196292951370872,PalmatGasmat,Positive,Q02241|KIF23_HUMAN Kinesin-like protein KIF23,GO:0000915;GO:0003777;GO:0005623;GO:0008017;GO:0005634;GO:0072383;GO:0016021;GO:0005524;GO:0006355
b13ee0f2ee34765a36b562f35d9de1b2,35,L,13.297029866738702,PalmatGasmat,Positive,P22757|HE_PARLI Hatching enzyme,GO:0031012;GO:0004222;GO:0006508;GO:0008270
81da92328abecc06b43ae08f6dac301f,26,J,8.814142738656212,PalmatGasmat,Positive,A2ARV4|LRP2_MOUSE Low-density lipoprotein receptor-related protein 2,GO:0005509;GO:0016021
fd92d8296891a1cbe5732f2ce87124f1,26,J,2.4910853948462006,PalmatGasmat,Positive,Q6UPR8|ERMP1_RAT Endoplasmic reticulum metallopeptidase 1 {ECO:0000305},GO:0016021;GO:0006508;GO:0008237;GO:0001541;GO:0005789;GO:0005783;GO:0046872
fd92d8296891a1cbe5732f2ce87124f1,26,J,2.251517766037815,PalmatGasmat,Positive,Q6UPR8|ERMP1_RAT Endoplasmic reticulum metallopeptidase 1 {ECO:0000305},GO:0016021;GO:0006508;GO:0008237;GO:0001541;GO:0005789;GO:0005783;GO:0046872
0caa07870a9c9b5ea94bf5a966b7756c,26,J,3.1572356489869042,PalmatGasmat,Positive,Q13231|CHIT1_HUMAN Chitotriosidase-1,GO:0008061;GO:0005576;GO:0005975;GO:0004553
0caa07870a9c9b5ea94bf5a966b7756c,35,L,19.02188661476333,PalmatGasmat,Positive,Q13231|CHIT1_HUMAN Chitotriosidase-1,GO:0008061;GO:0005576;GO:0005975;GO:0004553
0caa07870a9c9b5ea94bf5a966b7756c,26,J,3.8758699123219205,PalmatGasmat,Positive,Q13231|CHIT1_HUMAN Chitotriosidase-1,GO:0008061;GO:0005576;GO:0005975;GO:0004553
e2064b418198fd63ba60e5c3afc75a05,26,J,2.4181545621585148,PalmatGasmat,Positive,Q96AE4|FUBP1_HUMAN Far upstream element-binding protein 1,GO:0003723;GO:0006355
5888a40382b8feb351440af021467923,26,J,2.420226995930005,PalmatGasmat,Positive,B8VIW9|FP_ACRMI Fibronectin type III domain-containing protein,NA
7eee76f108e4b1449d77dabd84762ca3,35,L,2.135892055699656,PalmatGasmat,Positive,O43315|AQP9_HUMAN Aquaporin-9,GO:0015267;GO:0055085;GO:0016021
7eee76f108e4b1449d77dabd84762ca3,26,J,2.870475907380641,PalmatGasmat,Positive,O43315|AQP9_HUMAN Aquaporin-9,GO:0015267;GO:0055085;GO:0016021
fda28b059309dc5b5512a3dfd769e8f8,26,J,2.8900576873639117,PalmatGasmat,Positive,P34885|KPC1B_CAEEL Protein kinase C-like 1B,GO:0004697;GO:0006468;GO:0048471;GO:0005634;GO:0009931;GO:0035556;GO:0005886;GO:0005524;GO:0016235;GO:0034451;GO:0006915;GO:0046872;GO:0007049;GO:0018209;GO:2000570;GO:2000318;GO:0045086;GO:0032740;GO:1904355;GO:0090330;GO:0070233;GO:0032753;GO:0051973;GO:0006509;GO:0046627;GO:0032212;GO:0042102;GO:0051092;GO:0060326
7b4bc1535460364f658577383ca7455d,35,L,2.0821014014076917,PalmatGasmat,Positive,Q14108|SCRB2_HUMAN Lysosome membrane protein 2,GO:0005044;GO:0005764;GO:0006897;GO:0042742;GO:0016021;GO:0044419
786a153cf3e92cfc953c86277a5d20ff,26,J,4.1038335274440625,PalmatGasmat,Positive,Q8WVB3|HEXDC_HUMAN Hexosaminidase D,GO:0015929;GO:0005975;GO:0016021;GO:0102148
006338147c0873a0224de00fc9978cc8,N37,E,6.595583423587113,PalmatGasmat,Positive,P17213|BPI_HUMAN Bactericidal permeability-increasing protein,GO:0008289
006338147c0873a0224de00fc9978cc8,35,L,17.409271842970913,PalmatGasmat,Positive,P17213|BPI_HUMAN Bactericidal permeability-increasing protein,GO:0008289
43aba3a9f169529ed614502a0e58748d,N37,E,8.094987191306252,PalmatGasmat,Positive,F1NPQ2|MINP1_CHICK Multiple inositol polyphosphate phosphatase 1 {ECO:0000250|UniProtKB:Q9UNW1},GO:0016791;GO:0016311
33d892319c297766f98e219e2f320a06,32,K,5.596640776838292,PalmatGasmat,Positive,P42577|FRIS_LYMST Soma ferritin,GO:0004322;GO:0006879;GO:0005623;GO:0005737;GO:0008199;GO:0006826;GO:0008198;GO:0055114;GO:0051238;GO:0051651
33d892319c297766f98e219e2f320a06,35,L,21.26823082514075,PalmatGasmat,Positive,P42577|FRIS_LYMST Soma ferritin,GO:0004322;GO:0006879;GO:0005623;GO:0005737;GO:0008199;GO:0006826;GO:0008198;GO:0055114;GO:0051238;GO:0051651
2af4a60c48cadd3c9790d93e86fe3749,26,J,4.171520940277397,PalmatGasmat,Positive,Q9BXB4|OSB11_HUMAN Oxysterol-binding protein-related protein 11,GO:0001786;GO:0015918;GO:0005829;GO:0015485;GO:0036150;GO:0005856;GO:0043231;GO:0015248;GO:0015914;GO:0005548;GO:0016020
ca12fd5992ad86ecf6fc62a632058f9c,35,L,2.2298316813201855,PalmatGasmat,Positive,Q9DEI1|PRKDC_XENLA DNA-dependent protein kinase catalytic subunit,GO:0004677;GO:0006303;GO:0005634;GO:0006468;GO:0003677;GO:0005524
8f3952f0c30927ef317397dc02bf2a14,26,J,4.56042952296054,PalmatGasmat,Positive,Q98SN7|WNT2B_CHICK Protein Wnt-2b,NA
bbbc4b314b6c29d361a4fd54c488d2a4,26,J,5.144966089318005,PalmatGasmat,Positive,Q96RW7|HMCN1_HUMAN Hemicentin-1,GO:0004672;GO:0006468;GO:0005524
bbbc4b314b6c29d361a4fd54c488d2a4,26,J,5.607655767948401,PalmatGasmat,Positive,Q96RW7|HMCN1_HUMAN Hemicentin-1,GO:0004672;GO:0006468;GO:0005524
bbbc4b314b6c29d361a4fd54c488d2a4,26,J,6.039703154312725,PalmatGasmat,Positive,Q96RW7|HMCN1_HUMAN Hemicentin-1,GO:0004672;GO:0006468;GO:0005524
dc5f9c40482164c6915d894a113300bf,26,J,3.1217173732664474,PalmatGasmat,Positive,Q9YHB5|CND3_XENLA Condensin complex subunit 3,GO:0000796;GO:0007076;GO:0005515;GO:0000779;GO:0005737;GO:0005634;GO:0016020;GO:0051301
c4d638bb172ee9a947d51daa045a6903,26,J,2.051089343906296,PalmatGasmat,Positive,A6N6J5|WDR35_RAT WD repeat-containing protein 35,GO:0030991;GO:0035721;GO:0005509;GO:0005515;GO:0036064;GO:0003824;GO:0005930;GO:0005813;GO:0097542;GO:0005623;GO:0016021;GO:0061512;GO:1990830;GO:0060271;GO:1905705;GO:0097421;GO:0045019;GO:0090200;GO:0071333;GO:0097756;GO:0043280;GO:0071356;GO:0032496;GO:0009636;GO:0010629;GO:0044419
30e6500f32db82d0132817d7c2768cf6,N37,E,12.600467693154979,PalmatGasmat,Positive,"O43451|MGA_HUMAN Maltase-glucoamylase, intestinal",GO:0030246;GO:0005975;GO:0016021;GO:0004553;GO:0005524
30e6500f32db82d0132817d7c2768cf6,35,L,25.400170957235684,PalmatGasmat,Positive,"O43451|MGA_HUMAN Maltase-glucoamylase, intestinal",GO:0030246;GO:0005975;GO:0016021;GO:0004553;GO:0005524
6b9715c6432656dc34dae6e322c778c8,N37,E,3.0534280025261413,PalmatGasmat,Positive,Q9SXD5|GSXL3_ARATH Flavin-containing monooxygenase FMO GS-OX-like 3,GO:0004499;GO:0055114;GO:0050661;GO:0050660
6b9715c6432656dc34dae6e322c778c8,35,L,2.4082173399559554,PalmatGasmat,Positive,Q9SXD5|GSXL3_ARATH Flavin-containing monooxygenase FMO GS-OX-like 3,GO:0004499;GO:0055114;GO:0050661;GO:0050660
354b5229b452a41b75c6a2234d1d65b4,26,J,3.569656495681022,PalmatGasmat,Positive,O75140|DEPD5_HUMAN DEP domain-containing protein 5,GO:0005096;GO:0043547;GO:0035556
f6d12aa6f6fbc1ea527332e5053966b7,N37,E,6.585419245055607,PalmatGasmat,Positive,Q01617|CPO_DROME Protein couch potato,GO:0003723
f6d12aa6f6fbc1ea527332e5053966b7,35,L,21.983765913191768,PalmatGasmat,Positive,Q01617|CPO_DROME Protein couch potato,GO:0003723
f6d12aa6f6fbc1ea527332e5053966b7,35,L,8.473842784800778,PalmatGasmat,Positive,Q01617|CPO_DROME Protein couch potato,GO:0003723
4db8bdf89ce476ffad98662429ea1c52,26,J,2.5353587811191933,PalmatGasmat,Positive,Q99LC9|PEX6_MOUSE Peroxisome assembly factor 2,GO:0072663;GO:0005778;GO:0042623;GO:0043574;GO:0005524;GO:0006605
1a0c96caf843da648f9b7f73a403ee0d,26,J,2.906764285386989,PalmatGasmat,Positive,Q8NFF2|NCKX4_HUMAN Sodium/potassium/calcium exchanger 4,GO:0008273;GO:0035725;GO:0005887;GO:0071805;GO:0098656;GO:0005623;GO:0006874;GO:0070588;GO:0005262
e6a70d27915c27f5bcbbf301d7cc058f,32,K,10.397944231671046,PalmatGasmat,Positive,"A1A4J1|PFKAL_BOVIN ATP-dependent 6-phosphofructokinase, liver type {ECO:0000255|HAMAP-Rule:MF_03184}",GO:0003872;GO:0006002;GO:0005945;GO:0061615;GO:0070095;GO:0005524;GO:0005840;GO:0016020;GO:0016208;GO:0048029;GO:0042802;GO:0003735;GO:0061718;GO:0006735;GO:0051289;GO:0030388;GO:0006412
55ece9f93216d059ba4794bb35b8f812,26,J,3.7191324739251477,PalmatGasmat,Positive,Q5U3Q6|CIP4_DANRE Cdc42-interacting protein 4 homolog,GO:0006897;GO:0005085;GO:0030036
2105b1d445abda5807a2df6ca761bd35,26,J,4.527254850159782,PalmatGasmat,Positive,Q07832|PLK1_MOUSE Serine/threonine-protein kinase PLK1,GO:0004672;GO:0006468;GO:0005524
32b26ad1aae7b4b0010be5a8f8680b84,26,J,3.160408571523601,PalmatGasmat,Positive,Q803I2|ERGI3_DANRE Endoplasmic reticulum-Golgi intermediate compartment protein 3,GO:0016021;GO:0006890;GO:0006888;GO:0031228;GO:0030134;GO:0031227;GO:0005783
32b26ad1aae7b4b0010be5a8f8680b84,26,J,3.9888801343739244,PalmatGasmat,Positive,Q803I2|ERGI3_DANRE Endoplasmic reticulum-Golgi intermediate compartment protein 3,GO:0016021;GO:0006890;GO:0006888;GO:0031228;GO:0030134;GO:0031227;GO:0005783
e393e00a3d28e3da377263c05010022e,35,L,5.539436438091353,PalmatGasmat,Positive,Q9SZW4|HMA2_ARATH Cadmium/zinc-transporting ATPase HMA2,GO:0019829;GO:0030001;GO:0016021;GO:0005507;GO:0098655;GO:0010273;GO:0000166;GO:0072511;GO:0035639;GO:0098660;GO:0008144;GO:0097367;GO:0005375;GO:0072509;GO:0015662
8b43d2a02a556d42a92d8558b7cdcd21,35,L,2.6153758071969158,PalmatGasmat,Positive,Q6NU98|PDK1B_XENLA Serine/threonine-protein kinase pdik1l-B,GO:0004672;GO:0006468;GO:0005524
8b43d2a02a556d42a92d8558b7cdcd21,26,J,3.434551337000126,PalmatGasmat,Positive,Q6NU98|PDK1B_XENLA Serine/threonine-protein kinase pdik1l-B,GO:0004672;GO:0006468;GO:0005524
8b43d2a02a556d42a92d8558b7cdcd21,35,L,2.7628937809334344,PalmatGasmat,Positive,Q6NU98|PDK1B_XENLA Serine/threonine-protein kinase pdik1l-B,GO:0004672;GO:0006468;GO:0005524
a156beb0a6fd4541f9da7954c2a5e121,26,J,2.435427113455844,PalmatGasmat,Positive,Q9CR50|ZN363_MOUSE RING finger and CHY zinc finger domain-containing protein 1,GO:0008270;GO:0016567;GO:0000786;GO:0005634;GO:0030286;GO:0005515;GO:0004842;GO:1901483;GO:1900425;GO:0016746;GO:0003677;GO:0032436;GO:0005737;GO:0007017
04d4e6aa1a8a948f65b151bb413ae117,26,J,2.107472488497883,PalmatGasmat,Positive,Q8IUF8|MINA_HUMAN Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA,GO:0016706;GO:0005634;GO:0055114;GO:0032259;GO:1903507;GO:0005506;GO:0005667;GO:0008168;GO:0005829;GO:0003714;GO:0070013;GO:0042802;GO:0043232;GO:0005230;GO:0005886;GO:0016021;GO:0004888;GO:0032453;GO:0070544;GO:0034720;GO:0034220
1038c0cd485ed4644606c2bfe6d149dc,N37,E,3.1808837356936284,PalmatGasmat,Positive,Q8NCC3|PAG15_HUMAN Group XV phospholipase A2,GO:0008374;GO:0006629;GO:0016021
1038c0cd485ed4644606c2bfe6d149dc,32,K,3.5547712998415513,PalmatGasmat,Positive,Q8NCC3|PAG15_HUMAN Group XV phospholipase A2,GO:0008374;GO:0006629;GO:0016021
248b813df93cef2cfd117fe4272688ac,26,J,4.917794040227703,PalmatGasmat,Positive,Q9Y251|HPSE_HUMAN Heparanase,GO:0016798;GO:0016020
9627c2df6bd60c81e6c3ce5395ecd83c,32,K,10.315863929503,PalmatGasmat,Positive,Q7T163|KDIS_DANRE Kinase D-interacting substrate of 220 kDa,GO:0016301;GO:0016310;GO:0016021
a32b229dcfd2455392930fcb8745293d,35,L,2.293205412899438,PalmatGasmat,Positive,Q6GYQ0|RGPA1_HUMAN Ral GTPase-activating protein subunit alpha-1,GO:0051056;GO:0005096;GO:0005634;GO:0043547;GO:0016021
20dbd6309411775f33b47fe39b1fff22,35,L,13.361257065668033,PalmatGasmat,Positive,P0DN66|ACTP1_CINAN Tereporin-Ca1 {ECO:0000305},GO:0052331;GO:0046930;GO:0015267;GO:0046931;GO:0006812;GO:0055085
eda6e4032f32832aafcdaeb558a41f7e,26,J,3.2857285099640166,PalmatGasmat,Positive,B0FYY4|ITB1_SHEEP Integrin beta-1 {ECO:0000250|UniProtKB:P05556},GO:0007160;GO:0008305;GO:0038023;GO:0007229
eda6e4032f32832aafcdaeb558a41f7e,35,L,18.868264794167228,PalmatGasmat,Positive,B0FYY4|ITB1_SHEEP Integrin beta-1 {ECO:0000250|UniProtKB:P05556},GO:0007160;GO:0008305;GO:0038023;GO:0007229
eda6e4032f32832aafcdaeb558a41f7e,26,J,2.0633784386826926,PalmatGasmat,Positive,B0FYY4|ITB1_SHEEP Integrin beta-1 {ECO:0000250|UniProtKB:P05556},GO:0007160;GO:0008305;GO:0038023;GO:0007229
6d6117eed885b96e978712beabc2aa4a,26,J,2.522395504326615,PalmatGasmat,Positive,Q3SYV5|TSN33_BOVIN Tetraspanin-33,GO:0045747;GO:0097197;GO:0019899;GO:0009986;GO:0072659;GO:0016021;GO:0017147;GO:0003735;GO:0031226;GO:0051604;GO:0031300;GO:0012505;GO:0005840;GO:0061355;GO:0006886;GO:0006412;GO:0055114
c43051eb84be094ca33de92711a5b60e,26,J,8.077054510822338,PalmatGasmat,Positive,Q5GH73|XKR6_HUMAN XK-related protein 6,GO:0016021
375249729c0e98f2e403b243005fab59,N37,E,4.097060883311377,PalmatGasmat,Positive,Q00174|LAMA_DROME Laminin subunit alpha,NA
375249729c0e98f2e403b243005fab59,26,J,10.783313570648783,PalmatGasmat,Positive,Q00174|LAMA_DROME Laminin subunit alpha,NA
087a65a03cd1b1fc54cada54be85b890,32,K,2.2657140266864397,PalmatGasmat,Positive,Q920A5|RISC_MOUSE Retinoid-inducible serine carboxypeptidase,GO:0004185;GO:0006508;GO:0005829;GO:0045776;GO:0005576;GO:0097755;GO:0031982;GO:0016021;GO:0044257;GO:0042573
087a65a03cd1b1fc54cada54be85b890,35,L,36.711895818724315,PalmatGasmat,Positive,Q920A5|RISC_MOUSE Retinoid-inducible serine carboxypeptidase,GO:0004185;GO:0006508;GO:0005829;GO:0045776;GO:0005576;GO:0097755;GO:0031982;GO:0016021;GO:0044257;GO:0042573
fac85b412e800f58a37183d2b4d488ad,26,J,3.6074815739830175,PalmatGasmat,Positive,Q3SZH7|LKHA4_BOVIN Leukotriene A-4 hydrolase,GO:0004177;GO:0005615;GO:0006508;GO:0008237;GO:0008270
7a6703bc1fadc42d2870c6b902f4d4a8,26,J,2.1593407823527118,PalmatGasmat,Positive,Q9Z247|FKBP9_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP9,GO:0003755;GO:0000413
3f1e75867c092fb3c9f8243562fb4e7a,26,J,3.298192038812606,PalmatGasmat,Positive,A7RU46|NAPA_NEMVE Nck-associated protein 1 homolog,GO:0008407;GO:0031209;GO:0048365;GO:0031594;GO:0033627;GO:0030054;GO:0007520;GO:0007528;GO:0005886;GO:0001764;GO:0016021;GO:0030866;GO:0050807;GO:0034330;GO:0007409;GO:0007417;GO:0030031;GO:0008360
ce090205d65f0a85c3e363455b364f1d,26,J,2.9771113341849924,PalmatGasmat,Positive,Q7SY29|G6PT3_DANRE Glucose-6-phosphate exchanger SLC37A2 {ECO:0000305},GO:0022857;GO:0055085;GO:0016021
b876067dbe63ba6f3988d2ecc73fa7a2,32,K,3.6276371163608694,PalmatGasmat,Positive,Q99571|P2RX4_HUMAN P2X purinoceptor 4,GO:0004931;GO:0033198;GO:0098794;GO:0035590;GO:0030054;GO:0016502;GO:0005887;GO:0060079;GO:0005524;GO:0098655
1556f41b2596cb12df15d7c224a8a0c2,32,K,2.793209912100011,PalmatGasmat,Positive,P70031|CCKAR_XENLA Cholecystokinin receptor,GO:0035658;GO:0010506;GO:0004930;GO:0007186;GO:0016021
2a7cd68e0566c05681ad266437e5b515,35,L,4.04760200053186,PalmatGasmat,Positive,Q9Y3Z3|SAMH1_HUMAN Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,GO:0032567;GO:0110025;GO:0097197;GO:0046061;GO:0035861;GO:0006203;GO:0005654;GO:0008832;GO:0003697;GO:0042802;GO:0004540;GO:0016446;GO:0051289;GO:0008270;GO:0003723;GO:0051607;GO:0000724;GO:0045088;GO:0005525;GO:0001960;GO:0002832;GO:0032102;GO:0050777;GO:0031348;GO:0090501;GO:0044419;GO:0045087;GO:0019221
0cea1b33983e869912c8f0526f531c6c,26,J,2.3875021517969914,PalmatGasmat,Positive,Q8R4V2|DUS15_MOUSE Dual specificity protein phosphatase 15 {ECO:0000250|UniProtKB:Q9H1R2},GO:0008138;GO:0006470;GO:0004725
b836931ab4d3a87ac08c0480e3d757fe,26,J,3.3657001417230576,PalmatGasmat,Positive,Q91821|MELK_XENLA Maternal embryonic leucine zipper kinase,GO:0004672;GO:0006468;GO:0005524
4b0b02265b0784d2b29135600ef9db0a,26,J,2.6878670729234986,PalmatGasmat,Positive,E2RYF8|TPX2_PATPE Targeting protein for Xklp2 homolog,GO:0060236;GO:0005819;GO:0061676;GO:0005874;GO:0019901;GO:0032147;GO:0045171;GO:0043203;GO:0005654;GO:0007026;GO:0090307;GO:0007020
0ca687913c2258b55f1a7045a3b4721b,26,J,2.4977923756794636,PalmatGasmat,Positive,Q9VHH9|JHD1_DROME JmjC domain-containing histone demethylation protein 1,GO:0008270;GO:0005634;GO:0009303;GO:0002244;GO:0048701;GO:0003677;GO:0008168;GO:0070013;GO:0043232;GO:0035575;GO:0032454;GO:0051864;GO:0016020;GO:0071558;GO:0035064;GO:0032259;GO:0005506;GO:0005484;GO:0007530;GO:0035574;GO:0033169;GO:0071557;GO:0070544;GO:0016192;GO:0045893;GO:0061025;GO:0006886;GO:0055114;GO:0030901
0b70cc0d68a875691dc03d6a2d9d7df3,26,J,3.3464923578160075,PalmatGasmat,Positive,B7ZC77|CTNA2_DANRE Catenin alpha-2,GO:0045296;GO:0007155;GO:0015629;GO:0051015;GO:2001045;GO:0016600;GO:0071681;GO:0005915;GO:2001241;GO:0007406;GO:0016342;GO:0005198;GO:0014704;GO:0045295;GO:0017166;GO:0008013;GO:1901099;GO:0030027;GO:0042802;GO:0045880;GO:0043297;GO:2001237;GO:0043231;GO:2000146;GO:0007163;GO:0034613
e53e14b5561c3eb302946274626d8fa8,26,J,2.2737105220729026,PalmatGasmat,Positive,Q7SYD5|SC31A_DANRE Protein transport protein Sec31A,GO:0006888;GO:0005737;GO:0005198;GO:0012506;GO:0048475;GO:0097708;GO:0035459;GO:0098805;GO:0051668;GO:0098588;GO:0048194;GO:0098796;GO:0007029;GO:0006886;GO:0012505;GO:0043231;GO:0031984
69d6db75a84763d3d60a10494aabf56d,26,J,3.0354105798456064,PalmatGasmat,Positive,P30974|TLR1_DROME Tachykinin-like peptides receptor 86C,GO:0004930;GO:0007186;GO:0016021
eeeef5a97116169dd1b40b065347be1e,35,L,2.192019586643822,PalmatGasmat,Positive,A9ULE9|DJC22_XENTR DnaJ homolog subfamily C member 22,GO:0035002;GO:0016021;GO:0051082;GO:0035159;GO:0005769;GO:0030198;GO:0005886;GO:0006897;GO:0006457
9b2456f737323e32179a9fda4101539b,26,J,2.2309183751829096,PalmatGasmat,Positive,Q8BHY8|SNX14_MOUSE Sorting nexin-14,GO:0080025;GO:0016021
a6f46b71bf1145243326d6fa28f5333e,26,J,2.0859561811191867,PalmatGasmat,Positive,Q6P1A2|MBOA5_HUMAN Lysophospholipid acyltransferase 5,GO:0016746;GO:0016021
b3292e8d78bab326fb2aa5f80c39c97d,26,J,3.388123854878698,PalmatGasmat,Positive,Q2NKQ1|SGSM1_HUMAN Small G protein signaling modulator 1,GO:0005096;GO:0043547;GO:0042470;GO:0017137;GO:0034499;GO:0006886;GO:0051260;GO:0006450
4f447e739c43f88c454024f28a54f0ce,26,J,3.115435009035194,PalmatGasmat,Positive,P49183|DNAS1_MOUSE Deoxyribonuclease-1,GO:0006308;GO:0004536;GO:0005634;GO:0004519;GO:0005783;GO:0003335;GO:0016021;GO:0003677;GO:0090305;GO:0001942;GO:0002088;GO:0060041;GO:0070948;GO:0002283;GO:0002673;GO:0030262;GO:0010623
2c04dad77dc222d02e11a574c700f8bd,35,L,3.5800357935583964,PalmatGasmat,Positive,P19623|SPEE_HUMAN Spermidine synthase,GO:0004766;GO:0008295;GO:0005737;GO:0004014
e83c3f645c32b9214a622c2e94189017,32,K,6.2810513934744465,PalmatGasmat,Positive,Q9Z2W0|DNPEP_MOUSE Aspartyl aminopeptidase,GO:0004177;GO:0006508;GO:0000328;GO:0008237;GO:0008270;GO:0061077
e83c3f645c32b9214a622c2e94189017,35,L,11.9840014827245,PalmatGasmat,Positive,Q9Z2W0|DNPEP_MOUSE Aspartyl aminopeptidase,GO:0004177;GO:0006508;GO:0000328;GO:0008237;GO:0008270;GO:0061077
d2311c0041268f750c5e5bc4c176c7a5,26,J,2.0499593061284958,PalmatGasmat,Positive,Q9VQX4|PNCB_DROME Nicotinate phosphoribosyltransferase,GO:0004516;GO:0009435;GO:0005829;GO:0004514;GO:0016021;GO:0016409;GO:0046872;GO:0019365;GO:0006979
c0cb11b98beb9418ea71e2798defe525,26,J,2.9675510450146345,PalmatGasmat,Positive,O60524|NEMF_HUMAN Nuclear export mediator factor NEMF,GO:0003735;GO:0006412;GO:0005840
