sequence_ids,species,zooid,blast_hit,GO_term,gene_tree
531437,Agalma elegans,Pneumatophore,P40313|CTRL_HUMAN Chymotrypsin-like protease CTRL-1,GO:0004252;GO:0005615;GO:0006508,NA
575767,Agalma elegans,Pneumatophore,"P14519|GLYM_RABIT Serine hydroxymethyltransferase, mitochondrial",GO:0004372;GO:0019264;GO:0005739;GO:0030170;GO:0035999;GO:0070552;GO:0070013;GO:0008168;GO:0070905;GO:0019866;GO:0050897;GO:0009570;GO:0008270;GO:0009295;GO:0042802;GO:0015630;GO:0003682;GO:0005452;GO:0005829;GO:0005886;GO:0016021;GO:0032259;GO:1904481;GO:0006565;GO:0071229;GO:0071417;GO:0071407;GO:0046655;GO:0002082;GO:1901701;GO:0051289;GO:1903715;GO:0034340;GO:0070129;GO:0070536;GO:0044419;GO:0015698,NA
613442,Agalma elegans,Pneumatophore,,NA,NA
651285,Agalma elegans,Pneumatophore,,NA,NA
616938,Agalma elegans,Pneumatophore,,NA,NA
535365,Agalma elegans,Pneumatophore,P00548|KPYM_CHICK Pyruvate kinase PKM,GO:0004743;GO:0006096;GO:0055120;GO:0030955;GO:0030017;GO:0000287;GO:0016301;GO:0005783;GO:0008158;GO:0042626;GO:0016887;GO:0016021;GO:0005524;GO:0061718;GO:0006735;GO:0042866;GO:0001889;GO:0055085,7973d22126acd4895c72ee91ef7a84d7
612505,Agalma elegans,Pneumatophore,P17244|G3P_CRIGR Glyceraldehyde-3-phosphate dehydrogenase,GO:0006006;GO:0016620;GO:0005829;GO:0050661;GO:0009536;GO:0006096;GO:0051287;GO:0016021;GO:0004807;GO:0005507;GO:0008270;GO:0055114;GO:0080022;GO:0080144;GO:0048658;GO:0009555,NA
572002,Agalma elegans,Pneumatophore,,NA,NA
592181,Agalma elegans,Pneumatophore,O13065|MMP18_XENLA Matrix metalloproteinase-18,NA,c0690e0d3ed224c5cfeed8aabe34c395
580950,Agalma elegans,Pneumatophore,,NA,NA
596727,Agalma elegans,Pneumatophore,,NA,NA
512769,Agalma elegans,Pneumatophore,,NA,NA
579359,Agalma elegans,Pneumatophore,P31580|HCE1_ORYLA High choriolytic enzyme 1,GO:0004222;GO:0006508;GO:0016020;GO:0008270;GO:0018996;GO:0006897;GO:0005509;GO:0005044;GO:0055114;GO:0016491,NA
508817,Agalma elegans,Pneumatophore,,NA,NA
560316,Agalma elegans,Pneumatophore,Q9BXW7|CECR5_HUMAN Cat eye syndrome critical region protein 5,GO:0046474;GO:0005739,NA
617224,Agalma elegans,Pneumatophore,,NA,NA
549856,Agalma elegans,Pneumatophore,P20742|PZP_HUMAN Pregnancy zone protein,NA,1e602ff3170c17c085fc3b196f72ddd7
611652,Agalma elegans,Pneumatophore,O95084|PRS23_HUMAN Serine protease 23,GO:0004252;GO:0006508;GO:0005576;GO:0003160;GO:0005634;GO:0003171;GO:0008593;GO:0005739;GO:0016021;GO:0022857;GO:0005515;GO:1902475,NA
632272,Agalma elegans,Pneumatophore,Q9Z0T0|TPMT_RAT Thiopurine S-methyltransferase,GO:0008119;GO:0032259;GO:0005737;GO:0017144;GO:0010038;GO:1904047;GO:0006139,NA
557495,Agalma elegans,Pneumatophore,"P00636|F16P1_PIG Fructose-1,6-bisphosphatase 1",GO:0042132;GO:0016311;GO:0005975,df754681628e214627c4adfa88f326dc
628836,Agalma elegans,Pneumatophore,Q9U943|APLP_LOCMI Apolipophorins,NA,6e01edad27b65f148685a3eb8133f3c3
610538,Agalma elegans,Pneumatophore,B0BM40|TPIS_XENTR Triosephosphate isomerase,GO:0004807;GO:0006096;GO:0005829;GO:0046166;GO:0019563;GO:0006094,30a47e72001a336f0d686c6383d87459
542384,Agalma elegans,Pneumatophore,,NA,NA
594182,Agalma elegans,Pneumatophore,Q5F477|LDAH_CHICK Lipid droplet-associated hydrolase {ECO:0000250|UniProtKB:Q8BVA5},NA,NA
606970,Agalma elegans,Pneumatophore,,NA,NA
617221,Agalma elegans,Pneumatophore,,NA,NA
576347,Agalma elegans,Pneumatophore,P91427|PGK_CAEEL Probable phosphoglycerate kinase,GO:0004618;GO:0006096;GO:0005737;GO:0005524;GO:0030054;GO:0045202;GO:0099512;GO:0005623;GO:0016021;GO:0043229;GO:0043228;GO:0043531;GO:0004514;GO:0004356;GO:0043227;GO:1903862;GO:0001666;GO:0006094;GO:0046716;GO:0007268;GO:0006542;GO:0009435,NA
651479,Agalma elegans,Pneumatophore,P48180|ACH1_CAEEL Acetylcholine receptor subunit alpha-type acr-16,NA,d74e9db1f23877c11e6ff7ea7e81ff4e
548069,Agalma elegans,Pneumatophore,"Q9H1K1|ISCU_HUMAN Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",GO:0016226;GO:0005506;GO:0051536,NA
518032,Agalma elegans,Pneumatophore,Q9WTN6|S22AL_MOUSE Solute carrier family 22 member 21,NA,f82508554cf4f74526acddd545e978d4
648834,Agalma elegans,Pneumatophore,Q5ICW4|GRB14_BOVIN Growth factor receptor-bound protein 14,NA,NA
569354,Agalma elegans,Pneumatophore,Q98930|SORL_CHICK Sortilin-related receptor,NA,NA
627475,Agalma elegans,Pneumatophore,Q13308|PTK7_HUMAN Inactive tyrosine-protein kinase 7,NA,d9255039cab5b2e892d27c748a2620ab
602646,Agalma elegans,Pneumatophore,Q28GD4|ELAV2_XENTR ELAV-like protein 2,GO:1990904;GO:0003723;GO:0036093;GO:0060856;GO:0048477;GO:0005634,27fe1a0e13f49bfd1d55dfe75b7ee7ec
511082,Agalma elegans,Pneumatophore,P17817|P5CR_SOYBN Pyrroline-5-carboxylate reductase,GO:0004735;GO:0006561;GO:0005737;GO:0017144;GO:0055114,NA
635257,Agalma elegans,Pneumatophore,Q28685|DAG1_RABIT Dystroglycan,NA,1033d174d07984d1d356af27a4501619
620698,Agalma elegans,Pneumatophore,,NA,NA
562184,Agalma elegans,Pneumatophore,Q0EEE2|PTHD3_MOUSE Patched domain-containing protein 3,NA,NA
596836,Agalma elegans,Pneumatophore,Q9W332|CUBN_DROME Cubilin homolog {ECO:0000312|FlyBase:FBgn0052702},NA,NA
591989,Agalma elegans,Pneumatophore,Q28DL4|TRAF6_XENTR TNF receptor-associated factor 6,NA,NA
543033,Agalma elegans,Pneumatophore,Q4L235|ACSF4_HUMAN Acyl-CoA synthetase family member 4,NA,NA
520777,Agalma elegans,Pneumatophore,Q5QD09|TAA7E_MOUSE Trace amine-associated receptor 7e,NA,NA
596491,Agalma elegans,Pneumatophore,P82968|MCPI_MELCP Four-domain proteases inhibitor,NA,NA
562185,Agalma elegans,Pneumatophore,,NA,NA
568100,Agalma elegans,Pneumatophore,Q96UF1|G3P3_MUCCL Glyceraldehyde-3-phosphate dehydrogenase 3,GO:0016620;GO:0006006;GO:0050661;GO:0055114;GO:0051287;GO:0006096,NA
611529,Agalma elegans,Pneumatophore,Q3TY86|AIFM3_MOUSE Apoptosis-inducing factor 3,GO:0051537;GO:0055114;GO:0005783;GO:0050660;GO:0097194;GO:0005829;GO:0005743;GO:0016491;GO:0046872;GO:0005634,633f170e1c3bf66514bc89b57e20a966
651699,Agalma elegans,Pneumatophore,,NA,NA
600137,Agalma elegans,Pneumatophore,Q6AZV7|DDX55_XENLA ATP-dependent RNA helicase DDX55,GO:0003724;GO:0005730;GO:0006355;GO:0005654;GO:0005829;GO:0003723;GO:0005524;GO:0016020;GO:0008270;GO:0005515;GO:0003700;GO:0003677,c394b398fbef27830d8154058d406fc4
630869,Agalma elegans,Pneumatophore,O17732|PYC1_CAEEL Pyruvate carboxylase 1,GO:0009374;GO:0006094;GO:0005737;GO:0004736;GO:0043231;GO:0006090;GO:0016021;GO:0005524;GO:0046872;GO:0046686;GO:0044791;GO:0046959;GO:0019074;GO:0042802;GO:0016829;GO:0016740;GO:0010629,ddccc7a04505eda9628b3aba33cbbc39
524336,Agalma elegans,Pneumatophore,,NA,NA
631121,Agalma elegans,Pneumatophore,P42325|NCAH_DROME Neurocalcin homolog,GO:0005509,NA
628145,Agalma elegans,Pneumatophore,Q9WY55|GCSH_THEMA Glycine cleavage system H protein {ECO:0000255|HAMAP-Rule:MF_00272},GO:0005960;GO:0019464;GO:0008444;GO:0005524;GO:0005739;GO:0032049;GO:0016480,NA
589478,Agalma elegans,Pneumatophore,,NA,NA
563449,Agalma elegans,Pneumatophore,P82968|MCPI_MELCP Four-domain proteases inhibitor,NA,NA
641924,Agalma elegans,Pneumatophore,Q00174|LAMA_DROME Laminin subunit alpha,NA,NA
591990,Agalma elegans,Pneumatophore,Q60803|TRAF3_MOUSE TNF receptor-associated factor 3,GO:0005164;GO:0042981;GO:0035631;GO:0005737;GO:0009898;GO:0008063;GO:0033209;GO:0051090;GO:0008270;GO:0031996;GO:0050688;GO:0031625;GO:0042802;GO:0045087;GO:0019903;GO:0001817;GO:0019901;GO:0004842;GO:0005813;GO:0097708;GO:0003779;GO:0004721;GO:0012505;GO:0044092;GO:0048519;GO:0044419;GO:0009966;GO:0044093;GO:0048518;GO:0051246;GO:0070534;GO:0080135;GO:0042325;GO:0006915;GO:0030833;GO:0030036;GO:0060759;GO:0006470;GO:0065003,NA
641925,Agalma elegans,Pneumatophore,Q00174|LAMA_DROME Laminin subunit alpha,NA,NA
589693,Agalma elegans,Pneumatophore,"G5EFZ1|GPMI_CAEEL 2,3-bisphosphoglycerate-independent phosphoglycerate mutase {ECO:0000305|PubMed:15234973}",GO:0006007;GO:0004619;GO:0005737;GO:0030145;GO:0004496;GO:0008299;GO:0005524;GO:0016310;GO:0046031;GO:0006090;GO:0003676;GO:0044262;GO:0046034;GO:0006091;GO:0031047,NA
560523,Agalma elegans,Pneumatophore,,NA,NA
513458,Agalma elegans,Pneumatophore,Q6UVY6|MOXD1_HUMAN DBH-like monooxygenase protein 1,NA,NA
512838,Agalma elegans,Pneumatophore,,NA,NA
614537,Agalma elegans,Pneumatophore,Q05000|MYS_PODCA Myosin heavy chain,NA,24bc601e184b95f232f210552e6965db
639246,Agalma elegans,Pneumatophore,,NA,NA
564626,Agalma elegans,Pneumatophore,O97341|CALM_SUBDO Calmodulin,NA,NA
614655,Agalma elegans,Pneumatophore,,NA,NA
596242,Agalma elegans,Pneumatophore,,NA,NA
583490,Agalma elegans,Pneumatophore,P0C8L6|PHS_HYPDU Probable pterin-4-alpha-carbinolamine dehydratase,NA,NA
570565,Agalma elegans,Pneumatophore,,NA,NA
520121,Agalma elegans,Pneumatophore,,NA,NA
514218,Agalma elegans,Pneumatophore,Q8JZP9|GA2L1_MOUSE GAS2-like protein 1,NA,NA
573312,Agalma elegans,Pneumatophore,Q5QD25|TAAR2_RAT Trace amine-associated receptor 2,NA,NA
521290,Agalma elegans,Pneumatophore,Q61830|MRC1_MOUSE Macrophage mannose receptor 1,NA,NA
594549,Agalma elegans,Pneumatophore,Q00969|ATF2_RAT Cyclic AMP-dependent transcription factor ATF-2,NA,NA
540511,Agalma elegans,Pneumatophore,Q4GZT3|PKD2_BOVIN Polycystin-2,GO:0005509;GO:0097704;GO:0016323;GO:0005929;GO:0072019;GO:0051284;GO:0005783;GO:0010882;GO:0033040;GO:0072114;GO:0005262;GO:0003146;GO:0051371;GO:0032965;GO:0016021;GO:0015269;GO:0001946;GO:0003171;GO:0070121;GO:0005272;GO:0043235;GO:0009986;GO:0042802;GO:0001947;GO:0031253;GO:1990351;GO:0031226;GO:0098796;GO:0031410;GO:0009953;GO:0098588;GO:0009612;GO:0007610;GO:0001581;GO:0009582;GO:0009581;GO:0070588;GO:0071468;GO:0051289;GO:0007224;GO:0009415;GO:0035725;GO:0071805,NA
631972,Agalma elegans,Pneumatophore,Q92481|AP2B_HUMAN Transcription factor AP-2-beta,NA,NA
515702,Agalma elegans,Pneumatophore,Q9P0X4|CAC1I_HUMAN Voltage-dependent T-type calcium channel subunit alpha-1I,NA,NA
590044,Agalma elegans,Pneumatophore,Q9D110|MTHFS_MOUSE 5-formyltetrahydrofolate cyclo-ligase,GO:0030272;GO:0035999;GO:0005739;GO:0005524;GO:0009396;GO:0005829;GO:0070013;GO:0046657;GO:0016021;GO:0046872;GO:0005542;GO:0004930;GO:0006536;GO:0043066;GO:0015942;GO:0007166;GO:0007186;GO:0015031,NA
588347,Agalma elegans,Pneumatophore,,NA,NA
575710,Agalma elegans,Pneumatophore,Q8TE59|ATS19_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 19,NA,NA
583961,Agalma elegans,Pneumatophore,,NA,NA
574182,Agalma elegans,Pneumatophore,Q795M8|YUGO_BACSU Putative potassium channel protein YugO,NA,6c7f773e02fffcb237e7a294320b1394
631118,Agalma elegans,Pneumatophore,Q09470|KCNA1_HUMAN Potassium voltage-gated channel subfamily A member 1,GO:0051260;GO:0008076;GO:0005249;GO:0034765;GO:0071805;GO:0007637;GO:0048047;GO:0060025;GO:0045938;GO:0045838;GO:0008345;GO:0030431;GO:0048675;GO:0001508;GO:1903351;GO:0009584,NA
530651,Agalma elegans,Pneumatophore,Q60803|TRAF3_MOUSE TNF receptor-associated factor 3,GO:0005164;GO:0042981;GO:0005737;GO:0033209;GO:0005813;GO:0008270;GO:0008063;GO:0009898;GO:0031996;GO:0051090;GO:0048583;GO:0031625;GO:0042802;GO:0004842;GO:0016324;GO:0002697;GO:0008511;GO:0005634;GO:0005623;GO:0045087;GO:0001817;GO:0012505;GO:0016021;GO:0023056;GO:0010647;GO:0050694;GO:0003677;GO:0044092;GO:0001878;GO:0048519;GO:0044419;GO:0044093;GO:0070534;GO:0001934;GO:0055064;GO:0055078;GO:1990573;GO:0055075;GO:0006884;GO:1902476;GO:0035725;GO:0038061;GO:0051865;GO:0045859;GO:0009247,NA
523335,Agalma elegans,Pneumatophore,"Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type {ECO:0000255|HAMAP-Rule:MF_03184}",GO:0003872;GO:0006002;GO:0005737;GO:0061615;GO:0061695;GO:0005524;GO:0016020;GO:0043169;GO:0070095;GO:0048029;GO:0042802;GO:0061718;GO:0006735;GO:0051289;GO:0030388,e6a70d27915c27f5bcbbf301d7cc058f
609483,Agalma elegans,Pneumatophore,Q8K3F2|MMP21_MOUSE Matrix metalloproteinase-21,NA,34ce1fee9502e72e261867cb5cb4d1ea
648622,Agalma elegans,Pneumatophore,,NA,NA
523485,Agalma elegans,Pneumatophore,,NA,NA
521007,Agalma elegans,Pneumatophore,,NA,NA
582458,Agalma elegans,Pneumatophore,,NA,NA
615045,Agalma elegans,Pneumatophore,,NA,NA
560907,Agalma elegans,Pneumatophore,Q6L4D4|CML15_ORYSJ Probable calcium-binding protein CML15,GO:0005509,c6fc20993f08501b35ad7fa911c30e8d
598694,Agalma elegans,Pneumatophore,,NA,NA
594185,Agalma elegans,Pneumatophore,P98133|FBN1_BOVIN Fibrillin-1,NA,NA
579646,Agalma elegans,Pneumatophore,,NA,NA
509909,Agalma elegans,Pneumatophore,P05140|ISP2_HEMAM Type-2 ice-structuring protein,NA,NA
594552,Agalma elegans,Pneumatophore,D3YXG0|HMCN1_MOUSE Hemicentin-1 {ECO:0000312|MGI:MGI:2685047},NA,NA
521265,Agalma elegans,Pneumatophore,P47032|PRY1_YEAST Protein PRY1 {ECO:0000305},NA,NA
600677,Agalma elegans,Pneumatophore,Q96RW7|HMCN1_HUMAN Hemicentin-1,NA,NA
620672,Agalma elegans,Pneumatophore,Q9VZW5|FMAR_DROME FMRFamide receptor,GO:0007218;GO:0004930;GO:0016021,339a3630f26bbed16028a3e245c9c9b2
593091,Agalma elegans,Pneumatophore,,NA,NA
623168,Agalma elegans,Pneumatophore,E1C1R4|UBP47_CHICK Ubiquitin carboxyl-terminal hydrolase 47,GO:0036459;GO:0016579;GO:0019005;GO:0006511;GO:0005737;GO:0071987;GO:0004197;GO:0043154;GO:0010972;GO:0030307;GO:0090263;GO:1902230;GO:0034644;GO:0006284;GO:0042493;GO:0045892,NA
513107,Agalma elegans,Pneumatophore,,NA,NA
582156,Agalma elegans,Pneumatophore,O15013|ARHGA_HUMAN Rho guanine nucleotide exchange factor 10,NA,NA
581568,Agalma elegans,Pneumatophore,Q9NT99|LRC4B_HUMAN Leucine-rich repeat-containing protein 4B,NA,0314316b5070a15c1658d3295f0d095f
522647,Agalma elegans,Pneumatophore,P26261|SDC3_CHICK Syndecan-3,NA,NA
633240,Agalma elegans,Pneumatophore,Q5ZLY5|PKHF2_CHICK Pleckstrin homology domain-containing family F member 2,GO:0046872;GO:0030133;GO:0008333;GO:0007032;GO:0035091;GO:0006897;GO:0005515;GO:0005769;GO:0015031;GO:0010008;GO:0016324;GO:0005770;GO:0005938;GO:0005783,d9025e571bf441001e51055ad58eb60f
638261,Agalma elegans,Pneumatophore,Q24799|MYPH_ECHGR Myophilin,NA,NA
559263,Agalma elegans,Pneumatophore,Q9H841|NPAL2_HUMAN NIPA-like protein 2,GO:0015095;GO:1903830;GO:0016021,NA
526107,Agalma elegans,Pneumatophore,,NA,NA
560133,Agalma elegans,Pneumatophore,Q9YGP5|RBPS2_XENLA RNA-binding protein with multiple splicing 2,NA,NA
576670,Agalma elegans,Pneumatophore,Q6P9K8|CSKI1_MOUSE Caskin-1,NA,NA
641922,Agalma elegans,Pneumatophore,Q16787|LAMA3_HUMAN Laminin subunit alpha-3,NA,cb941c20bd13b9c82403bc7dee7a105a
615687,Agalma elegans,Pneumatophore,A8TX70|CO6A5_HUMAN Collagen alpha-5(VI) chain,NA,c6248ad58b87f91dd6f62415bd8c393d
615223,Agalma elegans,Pneumatophore,,NA,NA
521094,Agalma elegans,Pneumatophore,Q91496|FOS_TETFL Proto-oncogene c-Fos,NA,c4dca6e17c671801cbccf5b8b07bfc3b
553616,Agalma elegans,Pneumatophore,P11532|DMD_HUMAN Dystrophin,NA,NA
648209,Agalma elegans,Pneumatophore,P22770|ACHA7_CHICK Neuronal acetylcholine receptor subunit alpha-7,GO:0022848;GO:0060079;GO:0045211;GO:0030054;GO:0005892;GO:0098691;GO:0099056;GO:0035094;GO:0004888;GO:0007271;GO:0034220;GO:0009897;GO:0060080;GO:0035640;GO:0014059;GO:0051899;GO:0042166;GO:0007585;GO:0019233;GO:0001508;GO:0043005;GO:2000300;GO:0095500;GO:0030534;GO:0031594;GO:0099572;GO:0005623;GO:0001666;GO:0050890;GO:0007626;GO:0042113;GO:0006816;GO:0006979;GO:0006281;GO:0007274;GO:0048630;GO:0003009;GO:0070050;GO:0046716;GO:0019226;GO:0007528;GO:0050905;GO:0034330,NA
592208,Agalma elegans,Pneumatophore,"D4A6D7|TTC19_RAT Tetratricopeptide repeat protein 19, mitochondrial",GO:0017062;GO:0005739;GO:0033108,74ab86590888b0b13c451670d48f7d79
509403,Agalma elegans,Pneumatophore,,NA,NA
541866,Agalma elegans,Pneumatophore,P22897|MRC1_HUMAN Macrophage mannose receptor 1,NA,NA
651790,Agalma elegans,Pneumatophore,,NA,NA
557934,Agalma elegans,Pneumatophore,Q7YRZ9|MCL1_FELCA Induced myeloid leukemia cell differentiation protein Mcl-1 homolog,NA,NA
529467,Agalma elegans,Pneumatophore,A9JTH1|NCLDA_DANRE Neurocalcin-delta A,GO:0005509;GO:0007165;GO:0005246,NA
631951,Agalma elegans,Pneumatophore,P16092|FGFR1_MOUSE Fibroblast growth factor receptor 1,GO:0004713;GO:0018108;GO:0043235;GO:0005887;GO:0019199;GO:0005524;GO:0009925;GO:0007169;GO:0043197;GO:0033674;GO:0030054;GO:0005856;GO:0004674;GO:0007275;GO:0038085;GO:0003747;GO:0005096;GO:0016787;GO:0030154;GO:0002376;GO:0009653;GO:0035924;GO:0045766;GO:1902531;GO:0007155;GO:0009967;GO:0006928;GO:0040011;GO:0120036;GO:0006415;GO:0051674;GO:0006629;GO:0043547;GO:0046777;GO:0000165;GO:0071900;GO:0001934;GO:0009605,NA
596192,Agalma elegans,Pneumatophore,Q5QD29|TAAR1_PANTR Trace amine-associated receptor 1,NA,NA
644572,Agalma elegans,Pneumatophore,P13929|ENOB_HUMAN Beta-enolase,GO:0004634;GO:0000015;GO:0006096;GO:0000287,NA
613264,Agalma elegans,Pneumatophore,Q14246|AGRE1_HUMAN Adhesion G protein-coupled receptor E1 {ECO:0000303|PubMed:25713288},NA,NA
600678,Agalma elegans,Pneumatophore,,NA,NA
542865,Agalma elegans,Pneumatophore,P58390|KCNN2_MOUSE Small conductance calcium-activated potassium channel protein 2,NA,37a6dbbbe3960168064965f095ce82ce
549508,Agalma elegans,Pneumatophore,,NA,NA
631344,Agalma elegans,Pneumatophore,,NA,NA
577827,Agalma elegans,Pneumatophore,P16157|ANK1_HUMAN Ankyrin-1,NA,NA
634254,Agalma elegans,Pneumatophore,Q9CXI3|MOXD1_MOUSE DBH-like monooxygenase protein 1,NA,NA
636051,Agalma elegans,Pneumatophore,,NA,NA
576047,Agalma elegans,Pneumatophore,Q9JKF8|RASD1_RAT Dexamethasone-induced Ras-related protein 1,NA,955397b6a22bd5895bd18a1f1fbe6c06
601099,Agalma elegans,Pneumatophore,,NA,NA
576668,Agalma elegans,Pneumatophore,,NA,NA
528802,Agalma elegans,Pneumatophore,Q8MJY8|PGDH_MACFA 15-hydroxyprostaglandin dehydrogenase [NAD(+)],GO:0016491;GO:0055114,NA
572580,Agalma elegans,Pneumatophore,Q9WU63|HEBP2_MOUSE Heme-binding protein 2,NA,588ef63a1dbd86c6f7d39f9821997419
558598,Agalma elegans,Pneumatophore,,NA,NA
527271,Agalma elegans,Pneumatophore,O60235|TM11D_HUMAN Transmembrane protease serine 11D,NA,NA
651624,Agalma elegans,Pneumatophore,,NA,NA
592203,Agalma elegans,Pneumatophore,"Q8CC21|TTC19_MOUSE Tetratricopeptide repeat protein 19, mitochondrial",GO:0017062;GO:0005739;GO:0033108,74ab86590888b0b13c451670d48f7d79
645106,Agalma elegans,Pneumatophore,P0C870|JMJD7_HUMAN JmjC domain-containing protein 7,NA,021535f93316350f67d6283f7008b5fa
604815,Agalma elegans,Pneumatophore,Q9UBG0|MRC2_HUMAN C-type mannose receptor 2,NA,NA
650443,Agalma elegans,Pneumatophore,,NA,NA
643534,Agalma elegans,Pneumatophore,Q9NZC4|EHF_HUMAN ETS homologous factor,NA,a27bc9af9f79ee5e16aeb38f5a48e5eb
571980,Agalma elegans,Pneumatophore,Q7ZX53|S22FL_XENLA Solute carrier family 22 member 15-like,NA,NA
510759,Agalma elegans,Pneumatophore,Q9WU63|HEBP2_MOUSE Heme-binding protein 2,NA,588ef63a1dbd86c6f7d39f9821997419
556362,Agalma elegans,Pneumatophore,Q9BSY4|CHCH5_HUMAN Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,NA,NA
570931,Agalma elegans,Pneumatophore,,NA,NA
642815,Agalma elegans,Pneumatophore,P81900|KAPR2_DROME cAMP-dependent protein kinase type II regulatory subunit,GO:0008603;GO:2000479;GO:0005952;GO:0030552;GO:0043198;GO:0097546;GO:0043197;GO:0098978;GO:0034236;GO:0030291;GO:0005813;GO:0031625;GO:0007612;GO:0030054;GO:0071901;GO:0005886;GO:0016301;GO:0005829;GO:0050804;GO:0043025;GO:0047555;GO:0045121;GO:0048471;GO:0070062;GO:0016310;GO:0019904;GO:0030553;GO:0006631;GO:0016021;GO:0004970;GO:0019934;GO:0016773;GO:0140096;GO:0097338;GO:0005524;GO:0034199;GO:0097711;GO:0003091;GO:0071377;GO:0000086;GO:0035235;GO:0010389;GO:0007596;GO:0006464;GO:0034220,NA
595636,Agalma elegans,Pneumatophore,P24898|JUNB_RAT Transcription factor jun-B,GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0003713;GO:0005667;GO:0000785;GO:0070013;GO:0001067;GO:0001945;GO:0008134;GO:0031101;GO:0051726;GO:0060047;GO:0051591;GO:0009612;GO:0032496;GO:0045597;GO:0034097;GO:0042127;GO:0032870;GO:0009314;GO:0042493;GO:1903508;GO:1903507;GO:0010628;GO:2000113;GO:0010629;GO:0044419,80346e1e2fb85ba715b33b625e466549
559341,Agalma elegans,Pneumatophore,Q8NDA2|HMCN2_HUMAN Hemicentin-2 {ECO:0000305},NA,776e865779edb07a1b5cb1d7182355e5
613351,Agalma elegans,Pneumatophore,,NA,NA
643390,Agalma elegans,Pneumatophore,Q6NRZ4|C43BP_XENLA Collagen type IV alpha-3-binding protein,GO:0008289;GO:0035621;GO:0005794;GO:0120017;GO:0048471;GO:0120012;GO:0005829;GO:0005654;GO:0070584;GO:0006936;GO:0055088;GO:0033218;GO:0007029;GO:0005739;GO:0003007;GO:0120014;GO:0006672;GO:0034976;GO:0008283;GO:0005783;GO:0016020;GO:1902389;GO:0016301;GO:0043168;GO:0000902;GO:0001701;GO:0007165;GO:0016310,420895e3703ae5b79c39565bc326ffad
525556,Agalma elegans,Pneumatophore,P30599|CHS2_USTMA Chitin synthase 2,NA,NA
