Orthogroup,class,Common_blast,species,tissue,expression,Gene,gene_tree
OG0003769,SVG,Q8BQM9|MD12L_MOUSE Mediator of RNA polymerase II transcription subunit 12-like protein,Agalma elegans,PalmatGasmat,0.673621444746854,542130,NA
OG0003768,SVG,Q9NDJ2|DOM_DROME Helicase domino,Agalma elegans,PalmatGasmat,0.8141618210216941,519962,NA
OG0003797,SVG,Q68DX3|FRPD2_HUMAN FERM and PDZ domain-containing protein 2,Agalma elegans,PalmatGasmat,0.7106502949009565,568494,NA
OG0003817,SVG,Q8N3P4|VPS8_HUMAN Vacuolar protein sorting-associated protein 8 homolog,Agalma elegans,PalmatGasmat,0.8401429688149389,589534,NA
OG0003503,SVG,Q8BPY9|FIGL1_MOUSE Fidgetin-like protein 1,Agalma elegans,PalmatGasmat,0.7941506385177233,637505,NA
OG0003843,SVG,Q6NRS6|DRAM1_XENLA DNA damage-regulated autophagy modulator protein 1,Agalma elegans,PalmatGasmat,0.7557552523996991,559161,NA
OG0004340,SVG,"P53440|CALMF_NAEGR Calmodulin, flagellar",Agalma elegans,PalmatGasmat,1.1651749651001193,634158,NA
OG0003741,SVG,Q2QI47|USH2A_MOUSE Usherin,Agalma elegans,PalmatGasmat,0.6958387889348685,571816,NA
OG0003750,SVG,Q6PDQ2|CHD4_MOUSE Chromodomain-helicase-DNA-binding protein 4,Agalma elegans,PalmatGasmat,0.7154429156157942,625519,ed47f86d08478eace4e35fe178186b5b
OG0003866,SVG,Q99570|PI3R4_HUMAN Phosphoinositide 3-kinase regulatory subunit 4,Agalma elegans,PalmatGasmat,0.831269260155287,641042,fb6a89047acaffaac4f9f2d537546bfe
OG0003867,SVG,Q6P5E4|UGGG1_MOUSE UDP-glucose:glycoprotein glucosyltransferase 1,Agalma elegans,PalmatGasmat,0.7304026698024512,555992,d89cb1d6ab94bfba5653e4ec9ae56de9
OG0003841,SVG,Q9JI66|S4A4_RAT Electrogenic sodium bicarbonate cotransporter 1,Agalma elegans,PalmatGasmat,1,621601,NA
OG0003904,SVG,"Q5F2N2|FUT11_ORYLA Alpha-(1,3)-fucosyltransferase 11",Agalma elegans,PalmatGasmat,0.577443414594861,616009,762807b2c2eedc23e0de543fd01e5949
OG0003858,SVG,Q9R1D7|GBF1_CRIGR Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,Agalma elegans,PalmatGasmat,0.6939153643682991,526816,829906f81be09e3f99d72b8dcf4dd94f
OG0003890,SVG,Q6ZUT9|DEN5B_HUMAN DENN domain-containing protein 5B,Agalma elegans,PalmatGasmat,0.7485778980531215,612384,NA
OG0003907,SVG,Q6QI06|RICTR_MOUSE Rapamycin-insensitive companion of mTOR,Agalma elegans,PalmatGasmat,0.898307304015386,597181,0c5401ce162e188b3049796d80a2459e
OG0003915,SVG,P37199|NU155_RAT Nuclear pore complex protein Nup155,Agalma elegans,PalmatGasmat,0.7157153685170448,618191,6e4706fd31555dcfe4aa0652a6a8fd03
OG0003917,SVG,Q6ZQH8|NU188_MOUSE Nucleoporin NUP188 homolog,Agalma elegans,PalmatGasmat,0.7310425157871056,538165,a9458beca01739930c425878760a7a5e
OG0003935,SVG,Q8WXG6|MADD_HUMAN MAP kinase-activating death domain protein,Agalma elegans,PalmatGasmat,0.920244569020679,650867,8589627b51c55f42e0e9ba8b4dd08198
OG0003950,SVG,Q6P423|MED23_XENLA Mediator of RNA polymerase II transcription subunit 23,Agalma elegans,PalmatGasmat,0.7305081478524303,651159,NA
OG0005689,SVG,Q90385|SHH_CYNPY Sonic hedgehog protein,Agalma elegans,PalmatGasmat,0.5477739450983736,530510,NA
OG0003927,SVG,Q5ZMA6|NADE_CHICK Glutamine-dependent NAD(+) synthetase,Agalma elegans,PalmatGasmat,0.5107147124036695,564036,NA
OG0003925,SVG,Q9W1R5|VIR_DROME Protein virilizer,Agalma elegans,PalmatGasmat,0.6047683534253635,588826,NA
OG0003937,SVG,Q2M389|WASH7_HUMAN WASH complex subunit SWIP {ECO:0000305},Agalma elegans,PalmatGasmat,0.8846439286774329,644377,1d6c78c06047f26346e2f9e145be6f24
OG0003973,SVG,Q6PGP7|TTC37_HUMAN Tetratricopeptide repeat protein 37,Agalma elegans,PalmatGasmat,0.6932019302020898,648098,3ae033dd3dbfc7a07835e73fa76777fd
OG0003974,SVG,Q9Y4E6|WDR7_HUMAN WD repeat-containing protein 7,Agalma elegans,PalmatGasmat,0.8879854105758134,595739,10953a7e0ef76a86b394d7f951a2a1f7
OG0004036,SVG,Q9Z2Y1|TIM_RAT Protein timeless homolog,Agalma elegans,PalmatGasmat,0.6548634114545493,646262,NA
OG0003984,SVG,Q9Y3Z3|SAMH1_HUMAN Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,Agalma elegans,PalmatGasmat,0.6110442161918518,565812,2a7cd68e0566c05681ad266437e5b515
OG0003829,SVG,Q6PFD9|NUP98_MOUSE Nuclear pore complex protein Nup98-Nup96,Agalma elegans,PalmatGasmat,0.66055333506168,628702,c1785493aa2c4166f43203a596c78333
OG0003830,SVG,Q6PFD9|NUP98_MOUSE Nuclear pore complex protein Nup98-Nup96,Agalma elegans,PalmatGasmat,0.8188518160093149,559113,c1785493aa2c4166f43203a596c78333
OG0003987,SVG,Q91V92|ACLY_MOUSE ATP-citrate synthase,Agalma elegans,PalmatGasmat,0.8011744635680799,642010,63a35ebc4ff03204c9855c388444cd59
OG0005517,SVG,Q91821|MELK_XENLA Maternal embryonic leucine zipper kinase,Agalma elegans,PalmatGasmat,0.6327148638553768,595607,b836931ab4d3a87ac08c0480e3d757fe
OG0004003,SVG,Q5ZI08|SPT5H_CHICK Transcription elongation factor SPT5,Agalma elegans,PalmatGasmat,0.8308593491401481,644770,dfa1ae711bc64813a709d6b2a3cc66e3
OG0004004,SVG,Q7SYD5|SC31A_DANRE Protein transport protein Sec31A,Agalma elegans,PalmatGasmat,0.7670268589045502,565930,e53e14b5561c3eb302946274626d8fa8
OG0004006,SVG,Q7ZVM1|STRUM_DANRE WASH complex subunit strumpellin,Agalma elegans,PalmatGasmat,0.7031021186872061,545648,d4d9124cea3fbef02958568fb789cac9
OG0004011,SVG,F1R345|DDX11_DANRE ATP-dependent DNA helicase DDX11 {ECO:0000305},Agalma elegans,PalmatGasmat,0.919690038147134,566596,2c10c74d1ceb09fa3f9729fdd578d82b
OG0003995,SVG,Q9H0H0|INT2_HUMAN Integrator complex subunit 2,Agalma elegans,PalmatGasmat,0.6618458184216158,564838,7e765c1c3beb6702df595b75a9649fec
OG0004033,SVG,O95602|RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1,Agalma elegans,PalmatGasmat,0.7163060673590066,602629,NA
OG0004044,SVG,"Q9QWY8|ASAP1_MOUSE Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",Agalma elegans,PalmatGasmat,0.9259572766900002,573843,8f8e1eecaa6f88304e95142c1028e65c
OG0004051,SVG,Q9Y5W8|SNX13_HUMAN Sorting nexin-13,Agalma elegans,PalmatGasmat,0.8359620137794757,600706,NA
OG0004177,SVG,Q8VC56|RNF8_MOUSE E3 ubiquitin-protein ligase RNF8 {ECO:0000255|HAMAP-Rule:MF_03067},Agalma elegans,PalmatGasmat,0.8455250526159612,550152,NA
OG0003975,SVG,Q6PCJ1|DCTN1_XENLA Dynactin subunit 1,Agalma elegans,PalmatGasmat,0.6956612014116144,521948,b654f5bf86df610e33b14bda1ff3ccc0
OG0003977,SVG,Q6PCJ1|DCTN1_XENLA Dynactin subunit 1,Agalma elegans,PalmatGasmat,0.8560141275502472,521946,b654f5bf86df610e33b14bda1ff3ccc0
OG0004063,SVG,Q9ULI0|ATD2B_HUMAN ATPase family AAA domain-containing protein 2B,Agalma elegans,PalmatGasmat,0.5546567163097359,613975,NA
OG0004089,SVG,O15040|TCPR2_HUMAN Tectonin beta-propeller repeat-containing protein 2,Agalma elegans,PalmatGasmat,0.7669871096660372,532295,NA
OG0004049,SVG,Q9Y2H9|MAST1_HUMAN Microtubule-associated serine/threonine-protein kinase 1,Agalma elegans,PalmatGasmat,0.7936011944401316,536205,NA
OG0004111,SVG,Q6P6Y1|K1468_DANRE LisH domain and HEAT repeat-containing protein KIAA1468 homolog,Agalma elegans,PalmatGasmat,0.7820310267714474,647394,NA
OG0004112,SVG,P59240|NPHP4_MOUSE Nephrocystin-4,Agalma elegans,PalmatGasmat,0.709048447614818,617848,27b90bb14b1a9e1e2305e2ca07778b78
OG0004114,SVG,Q8TB72|PUM2_HUMAN Pumilio homolog 2,Agalma elegans,PalmatGasmat,0.7823703979883389,640504,NA
OG0004098,SVG,Q6A009|LTN1_MOUSE E3 ubiquitin-protein ligase listerin,Agalma elegans,PalmatGasmat,0.8711173434735261,538952,d20eff1e15f496cb1ba0fc802889803e
OG0004103,SVG,Q99683|M3K5_HUMAN Mitogen-activated protein kinase kinase kinase 5,Agalma elegans,PalmatGasmat,0.8758459152618039,620608,dfe2d113b97f09203481b7d2a260ebfa
OG0004138,SVG,Q86VP3|PACS2_HUMAN Phosphofurin acidic cluster sorting protein 2,Agalma elegans,PalmatGasmat,0.8167708741804266,522599,9f9727632cfbfeb5c5f5fbedd6e30dd7
OG0004133,SVG,Q9NQW7|XPP1_HUMAN Xaa-Pro aminopeptidase 1,Agalma elegans,PalmatGasmat,0.8347370029796397,651541,68fd96898d400cae91f6984bf7878eb4
OG0004142,SVG,B2RW38|CFA58_MOUSE Cilia- and flagella-associated protein 58 {ECO:0000305},Agalma elegans,PalmatGasmat,0.9694538351238525,646275,NA
OG0003874,SVG,"Q91XQ0|DYH8_MOUSE Dynein heavy chain 8, axonemal",Agalma elegans,PalmatGasmat,0.8977718350543725,631341,NA
OG0004181,SVG,Q8BR76|MKS3_MOUSE Meckelin,Agalma elegans,PalmatGasmat,0.6247600096553606,582255,NA
OG0004156,SVG,"Q13423|NNTM_HUMAN NAD(P) transhydrogenase, mitochondrial",Agalma elegans,PalmatGasmat,0.8307304032989484,538619,8753f55d2fe0373575cb85a8be27abef
OG0006174,SVG,P54708|AT12A_RAT Potassium-transporting ATPase alpha chain 2,Agalma elegans,PalmatGasmat,3.218967982316227,575499,9cb09d677014cf4ddbe816d0305f3558
OG0003410,SVG,Q6GNL7|AL1L1_XENLA Cytosolic 10-formyltetrahydrofolate dehydrogenase,Agalma elegans,PalmatGasmat,0.8592017400855586,538702,2fa79aeedea6702cb646f1e619f88ea4
OG0004203,SVG,Q9CWF6|BBS2_MOUSE Bardet-Biedl syndrome 2 protein homolog,Agalma elegans,PalmatGasmat,0.7410341479295247,620752,674a79b59dd03f49a5acc8d511878597
OG0004227,SVG,Q96A65|EXOC4_HUMAN Exocyst complex component 4,Agalma elegans,PalmatGasmat,0.9355339847086019,530814,ab66a555bfb8b878a51f7bad2c1cb526
OG0004293,SVG,P52756|RBM5_HUMAN RNA-binding protein 5,Agalma elegans,PalmatGasmat,0.844620210197951,552395,28c1c9a91f7550d9a3a6fbf8c7e55333
OG0004353,SVG,Q8VC04|T106A_MOUSE Transmembrane protein 106A,Agalma elegans,PalmatGasmat,1.0307262654935962,519724,c45d3ef5f94c8b00a0d2c67ae33dbf1d
OG0004697,SVG,P29227|HP1_DROVI Heterochromatin protein 1,Agalma elegans,PalmatGasmat,0.7350556986189434,598220,NA
OG0004251,SVG,Q7ZY18|MC6ZB_XENLA Zygotic DNA replication licensing factor mcm6-B,Agalma elegans,PalmatGasmat,0.7378577157908345,571139,NA
OG0004324,SVG,A0JPG1|F16B1_XENLA Protein FAM160B1,Agalma elegans,PalmatGasmat,0.690505477032262,528176,2342ca08903687facc304069082c31c2
OG0004277,SVG,Q92562|FIG4_HUMAN Polyphosphoinositide phosphatase,Agalma elegans,PalmatGasmat,0.8781167511722964,618048,7163c0030dfb96ca9dc63d5733832820
OG0004297,SVG,Q80U63|MFN2_MOUSE Mitofusin-2,Agalma elegans,PalmatGasmat,0.7256877114683602,565684,c09e5149a4222480a4a181a4bfe0e20e
OG0003482,SVG,Q561P5|MCM5_XENTR DNA replication licensing factor mcm5,Agalma elegans,PalmatGasmat,0.7253263596070081,545514,063dfcb986c39ab2a82153d110566cd4
OG0003591,SVG,Q4U2R1|HERC2_MOUSE E3 ubiquitin-protein ligase HERC2,Agalma elegans,PalmatGasmat,0.7061725233519115,538154,2e9d81bdfde413f8a4ee11695bee19a5
OG0003947,SVG,Q9P2K1|C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A,Agalma elegans,PalmatGasmat,0.7337227647714586,538607,cb8b6683c3659b846295613531cf98c4
OG0004336,SVG,Q5H9R7|PP6R3_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3,Agalma elegans,PalmatGasmat,0.8515901925583983,537158,07343f20cd3987421ae214a803319d5b
OG0004346,SVG,O42611|HIRA_TAKRU Protein HIRA,Agalma elegans,PalmatGasmat,0.6372140972298738,544869,NA
OG0004472,SVG,Q5U3Y0|KLD10_RAT Kelch domain-containing protein 10,Agalma elegans,PalmatGasmat,0.8328110285255591,517380,601b48d74febc7832df417f2d879a09a
OG0005475,SVG,Q7SXF1|DHCR7_DANRE 7-dehydrocholesterol reductase,Agalma elegans,PalmatGasmat,0.5483395848874775,564256,27eb9e37939739ce3ba60cacc180ca49
OG0004296,SVG,Q5T447|HECD3_HUMAN E3 ubiquitin-protein ligase HECTD3,Agalma elegans,PalmatGasmat,0.8611054368132807,565968,a04918582917cca736b35e9f2d6c8f75
OG0004170,SVG,"Q6UPE0|CHDH_RAT Choline dehydrogenase, mitochondrial",Agalma elegans,PalmatGasmat,0.8731170708275782,564706,NA
OG0003483,SVG,Q28BS0|MCM3Z_XENTR Zygotic DNA replication licensing factor mcm3,Agalma elegans,PalmatGasmat,0.6846458148691724,587655,d2bdac1f44cd850fcd8967c0827071dc
OG0003546,SVG,Q05438|BMR1B_CHICK Bone morphogenetic protein receptor type-1B,Agalma elegans,PalmatGasmat,0.8129151780314361,607340,a07e69d4343d8a98dcafcec33ce47226
OG0004420,SVG,Q2KI89|ARMC9_BOVIN LisH domain-containing protein ARMC9,Agalma elegans,PalmatGasmat,0.6918319563662143,577138,8b185cc7067356c6db9ddda97f8a8585
OG0004429,SVG,Q9C0B0|UNK_HUMAN RING finger protein unkempt homolog,Agalma elegans,PalmatGasmat,0.8447448636945725,529042,2cd2dbf3c869da35d859f9f9fa4522f5
OG0003571,SVG,Q95M18|ENPL_BOVIN Endoplasmin,Agalma elegans,PalmatGasmat,0.831448428481578,644312,5ee02837ec912590bc1df45aa6733c85
OG0004367,SVG,Q9VJ87|CWC22_DROME Pre-mRNA-splicing factor CWC22 homolog,Agalma elegans,PalmatGasmat,0.8660399197555783,619533,NA
OG0004455,SVG,"Q9ER72|SYCC_MOUSE Cysteine--tRNA ligase, cytoplasmic",Agalma elegans,PalmatGasmat,0.7719416060066536,573792,6df7cff0bd8ac5639749cfd09116d0e5
OG0006007,SVG,P97858|S35B1_MOUSE Solute carrier family 35 member B1,Agalma elegans,PalmatGasmat,0.9141871900278539,585550,693c9adef566651a3903c13dcb81eaab
OG0007043,SVG,Q8CDF7|EXD1_MOUSE piRNA biogenesis protein EXD1 {ECO:0000305},Agalma elegans,PalmatGasmat,0.7446430777027309,579852,2a023d8cc09a051611c7f7896d420d7d
OG0004431,SVG,Q8BGX0|TRI23_MOUSE E3 ubiquitin-protein ligase TRIM23,Agalma elegans,PalmatGasmat,0.6793667619176865,511420,NA
OG0004446,SVG,Q04724|TLE1_HUMAN Transducin-like enhancer protein 1,Agalma elegans,PalmatGasmat,0.8668203534936396,583690,NA
OG0004468,SVG,Q9W6C5|PDC6I_XENLA Programmed cell death 6-interacting protein,Agalma elegans,PalmatGasmat,0.813099749643658,617781,281c48250099e2a5fb80b402a3fc57cb
OG0003613,SVG,O88967|YMEL1_MOUSE ATP-dependent zinc metalloprotease YME1L1,Agalma elegans,PalmatGasmat,0.8922901022572141,633176,30e3135970285ddad3ad4955aa0a3f0a
OG0004491,SVG,Q99MN1|SYK_MOUSE Lysine--tRNA ligase,Agalma elegans,PalmatGasmat,0.9304172484344907,510533,f491686d7377f5e22f8f8eb184e618f3
OG0004570,SVG,Q9UKV8|AGO2_HUMAN Protein argonaute-2 {ECO:0000255|HAMAP-Rule:MF_03031},Agalma elegans,PalmatGasmat,0.928795528536455,556297,94742dccad874bc26afd92ad12138ffb
OG0004574,SVG,Q9D3S3|SNX29_MOUSE Sorting nexin-29,Agalma elegans,PalmatGasmat,1.060827484779458,626721,8296d4c99dbba12aaa152adc51023540
OG0004607,SVG,Q7ZYQ3|CEPT1_XENLA Choline/ethanolaminephosphotransferase 1,Agalma elegans,PalmatGasmat,0.9376910027972597,651831,29f29c058779c2bbfb35ba3576e20709
OG0005037,SVG,Q5R9C9|ATF7_PONAB Cyclic AMP-dependent transcription factor ATF-7,Agalma elegans,PalmatGasmat,0.7319917180936086,579158,4e01e9b4a0ded917b8ecf6e08d6d0b30
OG0004632,SVG,Q9Z2H5|E41L1_MOUSE Band 4.1-like protein 1,Agalma elegans,PalmatGasmat,0.719731187736478,526943,ba8463adf7e614ca3ba73510e3559dc4
OG0004639,SVG,Q8NDL9|CBPC5_HUMAN Cytosolic carboxypeptidase-like protein 5,Agalma elegans,PalmatGasmat,0.68901940869425,605527,c00c8378271b9f057a03a53bce0bac2e
OG0004492,SVG,Q9EP80|PICK1_RAT PRKCA-binding protein,Agalma elegans,PalmatGasmat,0.6791374414014547,611662,NA
OG0004554,SVG,Q6PCR7|EIF3A_DANRE Eukaryotic translation initiation factor 3 subunit A {ECO:0000255|HAMAP-Rule:MF_03000},Agalma elegans,PalmatGasmat,0.8480259955973566,565905,2c806a16fc06210915d2144d2a632f2b
OG0004580,SVG,Q6PDL0|DC1L2_MOUSE Cytoplasmic dynein 1 light intermediate chain 2,Agalma elegans,PalmatGasmat,0.833400963370433,561494,NA
OG0004587,SVG,A6QPF8|T120B_BOVIN Transmembrane protein 120B,Agalma elegans,PalmatGasmat,0.8627320024435443,528639,c3770414490e9e5b1894c01c9f7820c2
OG0004680,SVG,"Q7TN78|ACSM4_RAT Acyl-coenzyme A synthetase ACSM4, mitochondrial",Agalma elegans,PalmatGasmat,0.9763128368287802,632047,NA
OG0005297,SVG,O95628|CNOT4_HUMAN CCR4-NOT transcription complex subunit 4,Agalma elegans,PalmatGasmat,0.8475134839944268,586261,NA
OG0004613,SVG,Q9Y5L0|TNPO3_HUMAN Transportin-3,Agalma elegans,PalmatGasmat,0.7235423408828953,515497,dacc84dd0657ac524995a356af9f2dc4
OG0004638,SVG,Q6AYY8|ACATN_RAT Acetyl-coenzyme A transporter 1,Agalma elegans,PalmatGasmat,0.7359649326401685,535929,NA
OG0004645,SVG,Q6GM44|MARH5_XENLA E3 ubiquitin-protein ligase MARCH5,Agalma elegans,PalmatGasmat,0.712183780968304,586166,3c24ffccfe86c9e7c4ea580be6de56fc
OG0004676,SVG,Q96JM7|LMBL3_HUMAN Lethal(3)malignant brain tumor-like protein 3,Agalma elegans,PalmatGasmat,0.7429683693473642,597212,02fd384a49463051f03fd5b0e8e30d0a
OG0004681,SVG,Q9LDK9|APBLA_ARATH Beta-adaptin-like protein A,Agalma elegans,PalmatGasmat,0.7767893157017945,540819,ed72340bdf8b3c3e32571bd7a4cd211f
OG0005244,SVG,Q9Z1Z9|PDLI7_RAT PDZ and LIM domain protein 7,Agalma elegans,PalmatGasmat,1.1603753679431306,616345,ae93d8ce8d3b4a88b83bb7af56967833
OG0003618,SVG,Q9BV94|EDEM2_HUMAN ER degradation-enhancing alpha-mannosidase-like protein 2,Agalma elegans,PalmatGasmat,0.9134024485175954,554691,NA
OG0004533,SVG,Q99J45|NRBP_MOUSE Nuclear receptor-binding protein,Agalma elegans,PalmatGasmat,0.7329190171632635,522817,c4225a02503733e3200fee7f87998a3f
OG0004563,SVG,Q6ZQ89|MARH6_MOUSE E3 ubiquitin-protein ligase MARCH6,Agalma elegans,PalmatGasmat,0.7911829510275628,585348,b32278169f19e531b35bab35c0ff30ac
OG0004658,SVG,"Q07536|MMSA_BOVIN Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Agalma elegans,PalmatGasmat,0.9658963522636932,616514,NA
OG0004784,SVG,Q5TC82|RC3H1_HUMAN Roquin-1,Agalma elegans,PalmatGasmat,0.7258785359047324,512402,NA
OG0004830,SVG,Q8R3Y8|I2BP1_MOUSE Interferon regulatory factor 2-binding protein 1,Agalma elegans,PalmatGasmat,0.8695306125071295,632156,NA
OG0004702,SVG,Q9DBE9|SPB1_MOUSE pre-rRNA processing protein FTSJ3 {ECO:0000255|HAMAP-Rule:MF_03163},Agalma elegans,PalmatGasmat,0.8764685382281029,524695,611f4116891f1b5c3ce1c94b036b2605
OG0004759,SVG,Q91XU0|WRIP1_MOUSE ATPase WRNIP1,Agalma elegans,PalmatGasmat,0.5805985728051357,621674,468b5729f560bbb7636bca6db82efc24
OG0004831,SVG,Q6PCD5|RFWD3_HUMAN E3 ubiquitin-protein ligase RFWD3,Agalma elegans,PalmatGasmat,0.6846250451191861,613841,d3add539aa07bc0f5165d060d234823e
OG0004729,SVG,Q1LZF2|ARP8_BOVIN Actin-related protein 8,Agalma elegans,PalmatGasmat,0.7378164251583429,548737,4f6a49df13290b2e85c42d021b485380
OG0004732,SVG,Q96KG9|SCYL1_HUMAN N-terminal kinase-like protein,Agalma elegans,PalmatGasmat,0.8204627379745124,509953,NA
OG0004739,SVG,Q5RB87|G3BP1_PONAB Ras GTPase-activating protein-binding protein 1,Agalma elegans,PalmatGasmat,0.9000161870181385,572931,NA
OG0004767,SVG,Q9NQX3|GEPH_HUMAN Gephyrin {ECO:0000303|PubMed:10839351},Agalma elegans,PalmatGasmat,0.903029348337316,618497,6fbcaa3b0fc0f2f74787dc7bffd931b8
OG0004809,SVG,P97390|VPS45_MOUSE Vacuolar protein sorting-associated protein 45,Agalma elegans,PalmatGasmat,0.8972668177879474,560971,37bbbc0f9231540b532db1b81ee389cc
OG0004815,SVG,Q95SP2|HRD1_DROME E3 ubiquitin-protein ligase HRD1,Agalma elegans,PalmatGasmat,0.8276701038818609,571123,NA
OG0004884,SVG,Q9BRR9|RHG09_HUMAN Rho GTPase-activating protein 9,Agalma elegans,PalmatGasmat,0.8312596012130747,519415,e274e07e269ccc79a97c14780a8a02bf
OG0004741,SVG,Q80UM7|MOGS_MOUSE Mannosyl-oligosaccharide glucosidase,Agalma elegans,PalmatGasmat,0.7678476434942472,576604,4ca12b1782d9fa991dc70910289bd712
OG0004747,SVG,Q6NV04|ILVBL_DANRE Acetolactate synthase-like protein,Agalma elegans,PalmatGasmat,0.8856341465070932,621433,NA
OG0004800,SVG,Q9UIV1|CNOT7_HUMAN CCR4-NOT transcription complex subunit 7,Agalma elegans,PalmatGasmat,0.9111612775133074,628611,da9f69a216883bb0bb3c9a094ddb7edf
OG0004803,SVG,Q9P258|RCC2_HUMAN Protein RCC2,Agalma elegans,PalmatGasmat,0.6001715134780952,627871,NA
OG0004807,SVG,Q08945|SSRP1_HUMAN FACT complex subunit SSRP1,Agalma elegans,PalmatGasmat,0.8021674411041906,603567,a9eaeb389000bc6ac4daee23053dd800
OG0004876,SVG,Q9Y5B6|PAXB1_HUMAN PAX3- and PAX7-binding protein 1,Agalma elegans,PalmatGasmat,0.8155872750309021,639653,0795daab29ae31887a11b90b34656e0e
OG0004918,SVG,A7S6A1|U518_NEMVE UPF0518 protein v1g243165,Agalma elegans,PalmatGasmat,0.7529371551611163,526359,NA
